project,Full_STR,street,length(ft),distribution Rate Per Foot ($),additional cost per foot,total cost,parcel(#),1/3phase,1 phase,SAND_mean,CLAY_mean,BLD_AREA,TOTAL_VAL,dencity(#parcel/ft),BLD_AREA/length,TOTAL_VAL/length,SAND_test
"UG Conversion Project, 13.8 kV",2010-TBD,BELKNAP ST,1801,20,104.47,124.47,46,1Ph Res,1,58.793478,5.282609,178352,36910100,0.025541366,99.0294281,20494.22543,X
"UG Conversion Project, 13.8 kV",2010-TBD,ELSINORE ST,3178,20,104.47,124.47,56,1Ph Res,1,63.85,4.792857,254878,52107300,0.017621145,80.20075519,16396.25551,
"UG Conversion Project, 13.8 kV",2010-TBD,GRANT ST,970,60,104.47,164.47,12,"3Ph Com, 1PH Res",0,55.091667,4.95,49977,10575900,0.012371134,51.52268041,10902.98969,
"UG Conversion Project, 13.8 kV",2010-TBD,BROOKS ST,632,20,104.47,124.47,10,1Ph Res,1,64.3,4.72,44319,9492800,0.015822785,70.125,15020.25316,
"UG Conversion Project, 13.8 kV",2010-TBD,SUDBURY RD,810.4,150,104.47,254.47,118,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.912712,3.779661,549123,139166240,0.145607108,677.5950148,171725.3702,
"UG Conversion Project, 13.8 kV",2010-TBD,BYRON ST,187,20,104.47,124.47,3,1Ph Res,1,60.1,5.4,14771,2062400,0.016042781,78.98930481,11028.87701,
"UG Conversion Project, 13.8 kV",2010-TBD,WHITTEMORE ST,1407,20,104.47,124.47,21,1Ph Res,1,60.1,5.4,102993,19213000,0.014925373,73.20042644,13655.29495,
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,MAIN ST,180,93.93,0,93.93,406,"3Ph Trunk, 3Ph Com",0,58.164532,4.666995,1720109,365973300,2.255555556,9556.161111,2033185,
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,COMMONWEALTH AVE,1710,93.93,0,93.93,102,"3Ph Trunk, 3Ph Com, 1Ph Res",0,54.42451,3.756863,440638,73485200,0.059649123,257.6830409,42973.80117,
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,CHURCH ST,140,93.93,0,93.93,8,1Ph Res,1,45.4,2.1,33038,5439300,0.057142857,235.9857143,38852.14286,
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,BEHARRELL ST,215,93.93,0,93.93,6,"3Ph Com, 1Ph Res",0,10.016667,0.9,220370,23787200,0.027906977,1024.976744,110638.1395,
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,BRADFORD ST,825,93.93,0,93.93,6,"3Ph Trunk, 3Ph Com, 1Ph Res",0,60.1,5.4,113340,11096000,0.007272727,137.3818182,13449.69697,
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,LAWS BROOK RD,430,93.93,0,93.93,63,"3Ph Trunk, 1Ph Res",0,61.063492,4.571429,244682,53856400,0.146511628,569.027907,125247.4419,
"2010 UG Conversion Project, 13.8 kV",2009-2010,MILDRED CIR,2049,16.95,78.46,95.41,15,1Ph Res,1,81.14,1.8,139318,21616400,0.007320644,67.9931674,10549.73158,
"2010 UG Conversion Project, 13.8 kV",2009-2010,SARAH WAY,772,16.95,78.46,95.41,6,1Ph Res,1,85,1,57343,9760100,0.007772021,74.27849741,12642.61658,
"2010 UG Conversion Project, 13.8 kV",2009-2010,CAMBRIDGE TPKE,100,16.95,78.46,95.41,53,1Ph Res,1,73.709434,2.573585,189304,41928702,0.53,1893.04,419287.02,
"Minuteman Heights Utility Project, 13.8 kV",2009-2011,HUNTERS RIDGE RD,3000,57.32,74.91,132.23,24,1Ph Res,1,78.116667,2.133333,146635,26402600,0.008,48.87833333,8800.866667,
"Minuteman Heights Utility Project, 13.8 kV",2009-2011,OLD MARLBORO RD,100,57.32,74.91,132.23,97,1Ph Res,1,72.156701,3.44433,665409,125917500,0.97,6654.09,1259175,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,THOREAU ST,4432,150,182.85,332.85,66,"3Ph Trunk, 3Ph Com, 1Ph Res",0,57.407576,3.8,333114,71855100,0.014891697,75.16110108,16212.79332,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,HUBBARD ST,333,20,182.85,202.85,55,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.652727,4.287273,223002,64054600,0.165165165,669.6756757,192356.1562,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,LAUREL ST+THOREAU CT,2252,20,182.85,202.85,29,"3Ph Trunk, 3Ph Com, 1Ph Res",0,58.1300595,9.538095,11138.98214,2784638,0.012877442,4.946262052,1236.517762,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,UNION ST+WILLOW ST+FIELDING ST,1179,20,182.85,202.85,23,"3Ph Trunk, 3Ph Com, 1Ph Res",0,67.88333333,4.125,9632.107143,2464592.857,0.019508058,8.16972616,2090.409548,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,WALDEN TER,963,20,182.85,202.85,12,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.825,4.266667,50911,12220400,0.012461059,52.86708204,12689.92731,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,DEVENS ST+BELKNAP ST,1491,20,182.85,202.85,54,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.446739,5.3413045,9068.717391,2439718.478,0.036217304,6.082305427,1636.296766,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,ACADEMY LN+MIDDLE ST,1480,20,182.85,202.85,16,"3Ph Trunk, 3Ph Com, 1Ph Res",0,60.1,5.4,11396.08333,3431567,0.010810811,7.700056304,2318.626351,
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,SUDBURY RD,1624,40,182.85,222.85,118,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.912712,3.779661,549123,139166240,0.072660099,338.1299261,85693.49754,
