gid,phasedesig,servicetyp,subtype,geometry
20446,,UG,Primary,"LINESTRING (590631.0229294102 2938956.33250065, 590634.1229390326 2938941.024561009)"
20447,,UG,Primary,"LINESTRING (591108.5335309256 2938279.036558073, 591114.9801424189 2938269.8892632043)"
20449,,UG,Primary,"LINESTRING (591017.2749782751 2938508.424073123, 591018.972037944 2938504.327008654)"
20451,,UG,Primary,"LINESTRING (590923.6218472436 2938746.1474922956, 590919.5247827746 2938747.8445519647)"
20452,,UG,Primary,"LINESTRING (590921.2218424437 2938743.7474874957, 590923.6218472436 2938746.1474922956)"
24186,,UG,Primary,"LINESTRING (591366.4603520144 2938405.826850889, 591264.1387264844 2938042.8366531916)"
20365,,UG,Primary,"LINESTRING (600956.541913092 2941517.6030352027, 600956.7169134337 2941518.4180368357)"
20705,,UG,Primary,"LINESTRING (603984.8224706872 2940631.3353432445, 603783.0533297699 2940803.501204415, 603795.0055394755 2940811.4547823155, 603810.601217829 2940851.4549354813, 603949.3609502752 2941001.437881581, 604034.8910343393 2941060.11589924, 604230.9328248994 2940912.946271232, 604429.4433058532 2940745.649939681, 604443.1823510397 2940730.0401695906)"
20706,,UG,Primary,"LINESTRING (604443.1823510397 2940730.0401695906, 604772.7367155994 2941007.5596344834, 604703.3568493763 2941091.2235908112, 604707.3996589978 2941103.950796134, 604687.032174971 2941108.568557367, 604617.6523087479 2941201.415143048, 604616.4887696696 2941217.7046901435)"
20712,,UG,Primary,"LINESTRING (604936.523896567 2942581.067936773, 604993.7497243952 2942819.5487702256, 605082.0755241606 2943186.7319580168, 605098.7200576329 2943299.9010232594)"
20714,,UG,Primary,"LINESTRING (604721.7062351299 2942540.426993422, 604712.9220882856 2942549.3486101646, 604501.7216131652 2942543.737003338)"
24121,,UG,Primary,"LINESTRING (601664.5243369294 2942215.020977766, 601671.0222524262 2942208.850982898, 601685.7482808796 2941968.1254973672)"
24123,,UG,Primary,"LINESTRING (601685.7482808796 2941968.1254973672, 601697.0182006138 2941835.140444499, 601682.5927033535 2941731.7577141337)"
24128,,UG,Primary,"LINESTRING (604616.4887696696 2941217.7046901435, 604438.208426806 2941201.7977526016)"
24129,,UG,Primary,"LINESTRING (604548.4252073156 2940459.187292945, 604443.1823510397 2940730.0401695906)"
24397,1,OH,Primary,"LINESTRING (600107.6746610655 2931435.1535509196, 600111.6599987373 2931433.98266155)"
24400,1,OH,Primary,"LINESTRING (599448.1119984 2933472.9575593728, 599444.6916691839 2933474.1092719357)"
24401,1,OH,Primary,"LINESTRING (599429.8930593355 2933259.7327242335, 599424.3980133669 2933260.4315682794)"
24402,1,OH,Primary,"LINESTRING (599197.6683953367 2933198.776397553, 599197.8862140202 2933189.996174047)"
24403,1,OH,Primary,"LINESTRING (601036.2920725842 2938675.6173512344, 601033.8820352195 2938670.629281227)"
24414,,,Primary,"LINESTRING (602472.2149444298 2931424.8528497056, 602470.5178847609 2931420.7557852366)"
24415,,,Primary,"LINESTRING (602285.7445714892 2931245.552491104, 602281.6475070202 2931243.8554314356)"
24426,,,Primary,"LINESTRING (598403.4697506645 2933064.273184821, 598403.4697506645 2933060.8790654833)"
24424,,,Primary,"LINESTRING (602962.6687271117 2943572.2753390227, 602964.8048628388 2943570.226058594)"
24422,,,Primary,"LINESTRING (603093.94972882 2943828.1775974813, 603091.1938982579 2943828.3956404496)"
24427,,,Primary,"LINESTRING (590904.2373971901 2937698.6111888736, 590913.6177554072 2937695.551185024)"
24428,,,Primary,"LINESTRING (590829.0268580536 2937977.4558549114, 590830.2268604536 2937974.735849471, 590831.108046223 2937974.148959148)"
24429,,,Primary,"LINESTRING (590741.7076847667 2938211.2048972836, 590739.8690558965 2938207.827534035, 590742.9076871667 2938208.484891843)"
24430,,,Primary,"LINESTRING (590653.6181864315 2938445.1926272362, 590664.1408169022 2938444.992323056, 590654.8181888314 2938442.4726217957)"
24431,,,Primary,"LINESTRING (590563.3848852557 2938672.7053623274, 590562.1848828557 2938675.425367768, 590561.9528197994 2938679.4454571274)"
24432,,,Primary,"LINESTRING (590501.2410024819 2938946.067892135, 590506.041012082 2938946.067892135)"
24433,,,Primary,"LINESTRING (590329.6949653046 2938956.4405380217, 590326.5049589245 2938955.920536982, 590322.8984534497 2938951.3687837427)"
24434,,,Primary,"LINESTRING (590104.2495504594 2938557.085915397, 590103.337612797 2938561.5517895003)"
24436,,,Primary,"LINESTRING (599345.2232277613 2937806.050499937, 599344.7304424545 2937818.5328080067)"
24437,,,Primary,"LINESTRING (600112.9102242806 2939285.5460884166, 600114.1030659397 2939289.030755092)"
24438,,,Primary,"LINESTRING (602780.4155608311 2939241.168482336, 602775.8109688306 2939231.9377491013)"
24440,,,Primary,"LINESTRING (602409.0184828894 2939014.9704864477, 602412.2327163077 2939015.046362137)"
24442,,,Primary,"LINESTRING (602585.8981522919 2938955.5627106642, 602587.9752896194 2938954.3081603604)"
24443,,,Primary,"LINESTRING (602877.6057552114 2939093.758187516, 602874.7063005418 2939085.1182205044)"
24445,,,Primary,"LINESTRING (602404.6579286354 2939213.3603881816, 602406.468472807 2939213.0381635325)"
24447,,,Primary,"LINESTRING (602474.6633173765 2939381.7236858387, 602477.5187412797 2939377.2300018296)"
24449,,,Primary,"LINESTRING (602655.2221834516 2939468.961685199, 602659.5495387206 2939461.1491831117)"
24458,,,Primary,"LINESTRING (602691.1220236733 2932114.8576544826, 602686.311854348 2932123.5813156604)"
4022,,OH,Secondary,"LINESTRING (590881.8619946651 2924986.72882378, 590905.346860826 2925046.0923331305)"
24460,,,Primary,"LINESTRING (602209.2773532562 2932320.746619224, 602208.71 2932320.32)"
24456,,,Primary,"LINESTRING (602350.7270550162 2932532.4122170103, 602361.49 2932533.7100000028)"
24457,,,Primary,"LINESTRING (602177.51 2932494.9200000027, 602178.4763679153 2932498.9787452472)"
24454,,,Primary,"LINESTRING (599989.3279711296 2937309.706864299, 599984.4739164342 2937311.1401999146)"
24466,,,Primary,"LINESTRING (603790.4875809752 2929773.8795477585, 603787.8819127717 2929768.5634630746)"
24468,,,Primary,"LINESTRING (604827.3384546768 2927543.7055874113, 604828.9534372151 2927545.6203015726)"
24470,,,Primary,"LINESTRING (587762.6845713616 2925963.9730572547, 587761.2300000001 2925963.7599999993)"
24471,3,UG,Primary,"LINESTRING (588750.475606 2924718.277318298, 588752.8756060001 2924718.277318298)"
24474,,,Primary,"LINESTRING (594124.2744897412 2927598.546324002, 594119.7961075143 2927599.4608141757)"
24475,,,Primary,"LINESTRING (595891.4129483704 2925895.6077627395, 595853.1096373872 2925955.0900443173, 595856.728638707 2926003.1940141986)"
24483,,,Primary,"LINESTRING (609426.1660493494 2925529.2051130356, 609430.4519400529 2925530.0886132256)"
24485,,,Primary,"LINESTRING (587620.0349706917 2924334.5499999993, 587620.1099999996 2924334.54999991)"
24491,,,Primary,"LINESTRING (590706.8942 2921537.5512, 590705.2623354946 2921538.658655186)"
24465,,,Primary,"LINESTRING (600044.9604104505 2929046.8819646854, 600050.9269979334 2929044.671934595)"
24399,1,UG,Primary,"LINESTRING (602678.9059779912 2944040.381499526, 602674.7560835403 2944035.4684548457)"
24479,,,Primary,"LINESTRING (598636.3281716199 2927252.07890294, 598634.7757431709 2927252.2858933997)"
24509,,,Primary,"LINESTRING (594914.4568851886 2938815.3046868835, 594911.2890275406 2938809.575416259)"
24510,,,Primary,"LINESTRING (600218.7917900865 2937474.4513515104, 600216.7404334808 2937473.05494611)"
24512,,,Primary,"LINESTRING (605098.7200576329 2943299.9010232594, 605096.6794733321 2943301.94160756)"
24514,,,Primary,"LINESTRING (588307.3297246346 2923370.522491338, 588311.3291761118 2923371.6497788294)"
22590,,UG,Primary,"LINESTRING (600405.1574165619 2926904.9202253222, 600617.716682165 2926964.168066597, 600700.7858204468 2926966.000474059, 600772.8605139559 2926956.2276342614)"
22615,,UG,Primary,"LINESTRING (600260.6151550552 2927434.5471097953, 600231.384108906 2927561.1511476864, 600167.2498477326 2927648.4959033797, 600047.5325602089 2927752.332326232)"
24575,,,Primary,"LINESTRING (606078.4300237192 2926215.493684406, 606080.1270833883 2926211.396619937)"
24580,,OH,Primary,"LINESTRING (600953.69 2924342.909999999, 600954.8919097837 2924348.7586975168)"
24593,,OH,Primary,"LINESTRING (587635.9576977297 2927119.2356608314, 587640.4380697638 2927119.921084334)"
21942,1,UG,Primary,"LINESTRING (600294.1412606459 2928859.8039287915, 600241.5381727846 2928864.633990309, 600171.9088675351 2928895.409373845, 600128.0539459967 2928923.8766036155)"
21945,1,UG,Primary,"LINESTRING (599952.2495675491 2928678.058227624, 599776.8819532548 2928532.0795744085)"
21946,1,UG,Primary,"LINESTRING (600128.0539459967 2928923.8766036155, 600085.9301397825 2928975.7138902596, 600045.9221411861 2929042.0733110085)"
22591,,UG,Primary,"LINESTRING (600772.8605139559 2926956.2276342614, 600773.2491545315 2926933.707496238)"
20359,,UG,Primary,"LINESTRING (600618.0312360624 2942306.804613609, 600620.3612407225 2942304.9446098893)"
20361,,UG,Primary,"LINESTRING (600785.9715719431 2941984.8739697477, 600786.3715727432 2941982.373964748)"
20363,,UG,Primary,"LINESTRING (600855.8917117834 2941743.5734871463, 600856.3617127234 2941741.403482807)"
20544,,UG,Primary,"LINESTRING (596321.2144181555 2937817.3342185826, 596321.8804437608 2937821.7734435466)"
20793,,UG,Primary,"LINESTRING (591401.8060926293 2938535.1287101023, 591366.4603520144 2938405.826850889)"
20887,,UG,Primary,"LINESTRING (596833.5430142479 2935620.7661633994, 596832.1582643164 2935621.4979429957)"
20889,,UG,Primary,"LINESTRING (596619.7954617086 2935518.2373909205, 596618.97003794 2935522.123944248)"
20890,,UG,Primary,"LINESTRING (596479.0756581513 2935482.662865326, 596479.8878909047 2935479.3642174015)"
4036,,OH,Secondary,"LINESTRING (591089.7628566773 2925245.7279748423, 591042.1214069485 2925224.0116942595)"
21953,,UG,Primary,"LINESTRING (602895.2581797264 2929627.6496653305, 602892.5489451642 2929635.365001734, 602843.9815430219 2929665.9480391224, 602797.9146407918 2929702.782326292, 602683.1801640479 2929790.9730347376)"
21955,,UG,Primary,"LINESTRING (602683.1801640479 2929790.9730347376, 602663.560857044 2929758.6588820247, 602636.247704156 2929704.032576249, 602626.630396801 2929649.0215781787, 602632.400781214 2929574.391273105, 602645.4803192167 2929536.6914282735)"
