name,length
Hartford Turnpike,183.974
Harrington Farms Way,60.788
Grafton Street,67.963
Grafton Street,77.214
Boston Turnpike,106.26299999999999
First Avenue,188.07099999999997
North Quinsigamond Avenue,133.28
North Quinsigamond Avenue,117.423
North Street,62.749
North Street,88.34
Clear View Road,187.894
Spruce Street,74.846
Crescent Street,343.47799999999984
Crescent Street,207.401
Cherry Hill Drive,160.977
Tory Lane,205.885
Greenbriar Drive,150.953
Sewell Street,157.73
Sewell Street,603.1849999999998
Spring Circle,297.93100000000004
Spring Circle,82.524
Wilder Road,320.588
Fox Hill Road,336.921
Prospect Street,187.39
Prospect Street,274.87399999999997
Tolblin Hill Drive,145.73
Forest Avenue,154.59400000000002
South Quinsigamond Avenue,98.407
South Quinsigamond Avenue,70.347
Ridgeland Road,73.107
Shirley Road,150.668
Holden Street,188.977
Holden Street,337.92
Park Street Place,23.682
Russell Avenue,181.891
Park Street Place,70.402
Cherry Hill Drive,160.977
Cherry Street,103.839
Cherry Street,154.051
Winslow Street,87.162
Garfield Avenue,182.614
Winslow Street,294.483
Hayden Lane,94.875
Spring Street,28.358
Spring Street,108.06200000000001
Gifford Drive,114.06200000000001
Harriet Lane,98.56899999999999
Dawson Circle,179.477
Dawson Circle,103.49000000000001
Brookdale Circle,24.911
Old Laxfield Road,303.394
Old Laxfield Road,24.658
Sias Avenue,72.833
Sias Avenue,71.809
Browne Road,135.529
Browne Road,86.447
Thestland Drive,195.095
Main Street,96.709
Main Street,217.05100000000002
Ashton Drive,120.40200000000002
Rockwell Drive,534.441
Rockwell Drive,166.94
Richard Avenue,31.919
Westport Circle,59.998999999999995
Richard Avenue,107.483
Meadowbrook Circle,163.09699999999998
Main Boulevard,84.901
Main Boulevard,138.065
State Street,111.524
Berkshire Road,339.10299999999995
Amherst Road,116.547
Amherst Road,166.14700000000002
Farview Avenue,69.729
Farview Avenue,138.681
Upland Avenue,143.948
Boylston Street,34.712
Floral Street,189.265
Floral Street,130.975
Violette Circle,118.48000000000002
,58.124
Commons Drive,28.74
Commons Drive,64.463
Woodland Road,92.721
Arnold Road,107.987
Woodland Road,82.154
Commons Drive,258.51500000000004
Hartford Turnpike,620.0030000000002
Hartford Turnpike,137.187
Bummet Brook Circle,109.66499999999999
,384.5059999999999
Topsfield Circle,254.64500000000004
Topsfield Circle,252.682
Topsfield Circle,116.81899999999999
Monadnock Drive,359.0659999999999
Main Street,578.717
Main Street,139.81699999999998
Bunker Hill Road,105.65400000000001
Bunker Hill Road,96.47
Lexington Road,400.61199999999985
,263.71700000000004
Avon Drive,104.63
"['Avon Avenue', 'Phillips Avenue']",118.36700000000002
Avon Avenue,189.928
Marlboro Street,85.09800000000001
Westview Avenue,224.986
Birchwood Drive,82.188
Birchwood Drive,21.439
Sunflower Circle,94.697
Jill Circle,63.108
Lake Street,265.41900000000004
Lake Street,85.25399999999999
Harvard Avenue,318.09
Main Circle,117.415
Main Circle,85.01
Jamie Lane,178.28199999999998
Cypress Avenue,55.048
Cypress Avenue,154.442
Ivy Path,315.71500000000003
Edgemere Boulevard,183.65499999999997
"['Smith Lane', 'Stringer Dam Road']",203.27200000000002
Stringer Dam Road,47.346999999999994
,54.25
,88.31299999999999
Melody Lane,357.50800000000004
Grafton Street,139.34300000000002
Grafton Street,117.0
Lake Street,26.592
Harrington Farms Way,155.54300000000003
Lake Street,95.97200000000001
Hapgood Way,31.097
Paton Road,174.68300000000002
Paton Road,222.216
Summer Street,144.929
Summer Street,103.572
Maple Circle,271.796
Richard Avenue,124.90400000000001
Richard Avenue,89.92399999999999
Irving Drive,79.176
Lakeside Drive,397.80099999999993
Lakeside Drive,149.34800000000004
Floral Street,22.81
Whippoorwill Drive,140.125
Floral Street,489.045
Redwood Lane,76.25800000000001
Prospect Street,11.919
Prospect Street,412.7950000000001
Ashley Drive,23.233
,456.20599999999996
,530.358
Glen Gery Road,44.661
Glen Gery Road,151.301
Evergreen Street,78.494
High Street,693.4330000000001
High Street,113.58200000000001
Kalamat Farms Circle,377.7039999999999
Adams Road,195.307
Adams Road,183.001
Beths Road,233.67399999999998
Svenson Road,53.416000000000004
"['Sterling Street', 'Svenson Road']",228.14000000000004
Power Avenue,157.112
Hartford Turnpike,48.352
Huntington Road,66.698
Hartford Turnpike,36.908
Beaver Drive,35.316
Maple Avenue,19.373
Maple Avenue,289.24
Howe Avenue,145.699
Howe Avenue,320.733
Hillside Drive,585.11
Morningside Drive,174.093
Stoneland Road Way,84.51
,200.192
Harrington Farms Way,39.124
Old Mill Road,140.856
Old Mill Road,80.674
Lexington Road,400.61199999999997
Dorianna Circle,18.493
Dorianna Circle,78.77199999999998
Elm Street,22.83
Elm Street,50.906
Walnut Street,343.26699999999994
Avon Drive,104.63
King Arthur Road,239.441
Joseph Road,154.104
Joseph Road,49.68000000000001
Neptune Drive,380.826
Boylston Street,719.783
Boylston Street,122.707
Waterville Lane,99.71600000000001
Waterville Lane,357.57
Lahinch Lane,45.392
Barrows Road,127.13000000000001
Flagg Road,154.01100000000002
"['Blackstone Street', 'Olive Avenue']",255.76
Hartford Turnpike,324.567
Hartford Turnpike,79.11699999999999
Spruce Street,61.393
Spruce Street,74.846
Shady Lane Avenue,71.495
South Quinsigamond Avenue,288.389
South Quinsigamond Avenue,127.544
Grace Avenue,266.46200000000005
Blackthorn Road,211.28000000000003
Blackthorn Road,157.019
Settlers Road,248.485
Jacobson Drive,153.72
Valley Forge Drive,290.352
Weagle Farm Road,136.56300000000002
Deerfield Road,99.48400000000001
Deerfield Road,110.90700000000001
Tanglewood Drive,223.06400000000005
Norwood Avenue,69.708
Lakeside Drive,9.559
"['Sunset Lane', 'Bay Road']",218.34900000000002
Lakeside Drive,397.80100000000016
Gage Lane,387.8200000000001
Maple Avenue,87.58500000000001
Maple Avenue,55.028
North Quinsigamond Avenue,21.171
North Quinsigamond Avenue,132.584
Harrington Farms Way,89.498
Harrington Farms Way,125.126
Harrington Farms Way,159.088
Lake Street,263.4269999999999
Lake Street,376.53499999999997
Arrowwood Drive,331.03900000000004
Crescent Street,70.83
Crescent Street,119.75099999999999
Catalina Drive,176.378
Quail Hollow Drive,185.111
,56.333
South Quinsigamond Avenue,70.347
South Quinsigamond Avenue,20.189
"['Sleepy Hollow', 'Sleepy Hollow Road']",204.60199999999998
"['Sleepy Hollow', 'Sleepy Hollow Road']",204.60199999999998
Dalton Drive,100.90099999999998
Dalton Drive,38.940999999999995
Dalton Drive,28.521
Beths Road,233.674
Sheryl Drive,106.47399999999999
Sheryl Drive,370.80400000000014
Northland Road,111.007
North Street,183.52799999999996
North Street,208.64600000000002
"['Beacon Street', 'Broadway']",116.979
Beacon Street,78.97
Marlboro Street,85.09799999999998
Wingate Street,108.88899999999998
Ridgeland Road,117.53600000000002
Ridgeland Road,75.293
Judick Street,112.755
Estabrook Road,86.175
Estabrook Road,67.735
Willow Street,160.58800000000002
Prospect Street,83.834
Prospect Street,114.338
Broushane Circle,177.71200000000002
North Street,94.274
Park Street,68.564
Park Street,136.174
Park View Lane,123.237
Hartford Turnpike,48.352
Hartford Turnpike,236.39499999999998
Edgemere Boulevard,52.919000000000004
Edgemere Boulevard,223.11299999999997
Irving Drive,73.297
Bay View Drive,90.224
Hearthside Circle,167.475
Gleason Road,135.313
Boston Turnpike,73.80600000000001
Brentwood Drive,218.938
Brentwood Drive,320.142
Seton Drive,446.0230000000001
Glen Gery Road,151.30100000000002
Rolfe Avenue,76.179
Rolfe Avenue,77.831
Gleason Road,142.227
Adin Drive,170.10699999999997
Rosedale Avenue,70.02199999999999
Rosedale Avenue,175.004
Broadway,93.57300000000001
Broadway,71.769
Casavan Avenue,200.12300000000005
Boston Turnpike,79.089
Sheehan Drive,176.79399999999998
E K Court,25.469
Shirley Lane,214.276
Wendell Street,102.936
Bow Street,48.951
Bow Street,272.308
,510.0520000000002
,531.842
,191.121
Harvard Avenue,318.09000000000003
Rolling Hill Road,133.095
Wachusett Avenue,60.677
Wachusett Avenue,78.33200000000001
Sandpiper Drive,112.461
Willet Drive,245.564
Willet Drive,94.251
Tern Drive,83.536
Eagle Drive,92.833
Ptarmigan Drive,109.22300000000001
Ptarmigan Drive,132.755
State Street,71.783
Garfield Avenue,182.61399999999998
State Street,111.524
Hartford Turnpike,435.097
Hartford Turnpike,775.33
Stoney Hill Road,256.096
Boylston Street,109.075
Zylonite Street,31.9
Rhinecliff Street,18.386
Rhinecliff Street,63.199
Old Mill Road,179.466
Maple Avenue,26.72
Maple Avenue,145.16600000000003
Walnut Street,384.832
Walnut Street,200.61100000000002
Floral Street,138.858
Casavan Avenue,200.12300000000002
Shannon Drive,82.314
Grace Avenue,112.30799999999999
Grace Avenue,136.739
Lincoln Way,110.771
Hartford Turnpike,53.823
Hartford Turnpike,79.11699999999999
Harrington Avenue,249.96099999999993
Harrington Avenue,19.968
Whitney Street,230.453
Nelson Point Road,140.923
Nelson Point Road,226.647
Point Road,169.257
Jamie Lane,178.28199999999998
North Street,233.62099999999998
North Street,225.72999999999996
,534.412
Boylston Street,279.84600000000006
Main Street,175.48000000000002
Main Street,152.112
Colton Lane,647.623
Linda Circle,68.916
Crescent Street,43.099
Crescent Street,233.332
Dawson Circle,103.49
East Avenue,86.28
East Avenue,35.449
Brookway Drive,368.632
Memorial Drive,61.352
