"Project						Dencity",Full_STR,street,Length(ft),Distribution Rate Per Foot ($),Additional cost per foot,Parcel(#),dencity(#parcel/ft),1/3phase,1 phase,SAND,CLAY,BLD_AREA,TOTAL_VAL
"2011 UG Conversion Project, 13.8 kV						",2010-TBD,BELKNAP ST,1801,$20.00 ,$104.47 ,46,0.025541366,1Ph Res,1,58.793478,5.282609,178352,36910100
"2011 UG Conversion Project, 13.8 kV					",2010-TBD,ELSINORE ST,3178,$20.00 ,$104.47 ,56,0.017621145,1Ph Res,1,63.85,4.792857,254878,52107300
"2011 UG Conversion Project, 13.8 kV					",2010-TBD,GRANT ST,970,$60.00 ,$104.47 ,12,0.012371134,"3Ph Com, 1PH Res",0,55.091667,4.95,49977,10575900
"2011 UG Conversion Project, 13.8 kV						",2010-TBD,BROOKS ST,632,$20.00 ,$104.47 ,10,0.015822785,1Ph Res,1,64.3,4.72,44319,9492800
"2011 UG Conversion Project, 13.8 kV					",2010-TBD,SUDBURY RD,810.4,$150.00 ,$104.47 ,118,0.145607108,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.912712,3.779661,549123,139166240
"2011 UG Conversion Project, 13.8 kV		",2010-TBD,BYRON ST,187,$20.00 ,$104.47 ,3,0.016042781,1Ph Res,1,60.1,5.4,14771,2062400
"2011 UG Conversion Project, 13.8 kV		",2010-TBD,WHITTEMORE ST,1407,$20.00 ,$104.47 ,21,0.014925373,1Ph Res,1,60.1,5.4,102993,19213000
"West Concord Business District Utility Upgrade Project, 13.8 kV	",2010-2011,MAIN ST,180,$93.93 ,$0.00 ,406,2.255555556,"3Ph Trunk, 3Ph Com",0,58.164532,4.666995,1720109,365973300
"West Concord Business District Utility Upgrade Project, 13.8 kV	",2010-2011,COMMONWEALTH AVE,1710,$93.93 ,$0.00 ,102,0.059649123,"3Ph Trunk, 3Ph Com, 1Ph Res",0,54.42451,3.756863,440638,73485200
"West Concord Business District Utility Upgrade Project, 13.8 kV	",2010-2011,CHURCH ST,140,$93.93 ,$0.00 ,8,0.057142857,1Ph Res,1,45.4,2.1,33038,5439300
"West Concord Business District Utility Upgrade Project, 13.8 kV	",2010-2011,BEHARRELL ST,215,$93.93 ,$0.00 ,6,0.027906977,"3Ph Com, 1Ph Res",0,10.016667,0.9,220370,23787200
"West Concord Business District Utility Upgrade Project, 13.8 kV	",2010-2011,BRADFORD ST,825,$93.93 ,$0.00 ,6,0.007272727,"3Ph Trunk, 3Ph Com, 1Ph Res",0,60.1,5.4,113340,11096000
"West Concord Business District Utility Upgrade Project, 13.8 kV	",2010-2011,LAWS BROOK RD,430,$93.93 ,$0.00 ,63,0.146511628,"3Ph Trunk, 1Ph Res",0,61.063492,4.571429,244682,53856400
"2010 UG Conversion Project, 13.8 kV	",2009-2010,MILDRED CIR,2049,$16.95 ,$78.46 ,15,0.007320644,1Ph Res,1,81.14,1.8,139318,21616400
"2010 UG Conversion Project, 13.8 kV	",2009-2010,SARAH WAY,772,$16.95 ,$78.46 ,6,0.007772021,1Ph Res,1,85,1,57343,9760100
"2010 UG Conversion Project, 13.8 kV	",2009-2010,CAMBRIDGE TPKE,100,$16.95 ,$78.46 ,53,0.53,1Ph Res,1,73.709434,2.573585,189304,41928702
"Minuteman Heights Utility Project, 13.8 kV	",2009-2011,HUNTERS RIDGE RD,3000,$57.32 ,$74.91 ,24,0.008,1Ph Res,1,78.116667,2.133333,146635,26402600
"Minuteman Heights Utility Project, 13.8 kV	",2009-2011,OLD MARLBORO RD,100,$57.32 ,$74.91 ,97,0.97,1Ph Res,1,72.156701,3.44433,665409,125917500
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,THOREAU ST,4432,$150.00 ,$182.85 ,66,0.014891697,"3Ph Trunk, 3Ph Com, 1Ph Res",0,57.407576,3.8,333114,71855100
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,HUBBARD ST,333,$20.00 ,$182.85 ,55,0.165165165,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.652727,4.287273,223002,64054600
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,LAUREL ST+THOREAU CT,2252,$20.00 ,$182.85 ,29,0.012877442,"3Ph Trunk, 3Ph Com, 1Ph Res",0,58.1300595,9.538095,11138.98214,2784638
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,UNION ST+WILLOW ST+FIELDING ST,1179,$20.00 ,$182.85 ,23,0.019508058,"3Ph Trunk, 3Ph Com, 1Ph Res",0,67.88333333,4.125,9632.107143,2464592.857
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,WALDEN TER,963,$20.00 ,$182.85 ,12,0.012461059,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.825,4.266667,50911,12220400
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,DEVENS ST+BELKNAP ST,1491,$20.00 ,$182.85 ,54,0.036217304,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.446739,5.3413045,9068.717391,2439718.478
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,ACADEMY LN+MIDDLE ST,1480,$20.00 ,$182.85 ,16,0.010810811,"3Ph Trunk, 3Ph Com, 1Ph Res",0,60.1,5.4,11396.08333,3431567
"Emerson Underground Utility Project, 13.8 kV	",2007-TBD,SUDBURY RD,1624,$40.00 ,$182.85 ,118,0.072660099,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.912712,3.779661,549123,139166240
,,,,,$99.20 ,,,,,,,,
