project,Full_STR,street,length(ft),distribution Rate Per Foot ($),additional cost per foot,total cost,parcel(#),1/3phase,1 phase,SAND_mean,CLAY_mean,SAND_max,CLAY_max,BLD_AREA,TOTAL_VAL,UNITS,USE_CODE_mode,density(#parcel/ft),BLD_AREA/length,TOTAL_VAL/length,log_density,SAND/CLAY,log_SAND,log_CLAY,UNITS_density,residential_mode,residential_100%,street_type,residential_street_type
"UG Conversion Project, 13.8 kV",2010-TBD,BELKNAP ST,1801,20,104.47,124.47,46,1Ph Res,1,58.79347826,5.282608696,60.1,5.4,178352,36910100,4,1010,0.025541366,99.0294281,20494.22543,-1.59275588,11.12962963,1.769329154,0.722848442,0.002220988,1,1,residential ,1
"UG Conversion Project, 13.8 kV",2010-TBD,ELSINORE ST,3178,20,104.47,124.47,56,1Ph Res,1,63.85,4.792857143,81.1,5.4,254878,52107300,2,1010,0.017621145,80.20075519,16396.25551,-1.753965875,13.3219076,1.805160902,0.680594485,0.000629327,1,1,residential ,1
"UG Conversion Project, 13.8 kV",2010-TBD,GRANT ST,970,60,104.47,164.47,12,"3Ph Com, 1PH Res",0,55.09166667,4.95,60.1,5.4,49977,10575900,0,1010,0.012371134,51.52268041,10902.98969,-1.907590489,11.12962963,1.741085911,0.694605199,0,1,1,residential ,1
"UG Conversion Project, 13.8 kV",2010-TBD,BROOKS ST,632,20,104.47,124.47,10,1Ph Res,1,64.3,4.72,81.1,5.4,44319,9492800,0,1010,0.015822785,70.125,15020.25316,-1.800717073,13.62288136,1.808210973,0.673941999,0,1,1,residential ,1
"UG Conversion Project, 13.8 kV",2010-TBD,SUDBURY RD,810.4,150,104.47,254.47,118,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.91271186,3.779661017,90,9.5,549123,139166240,6,1010,0.145607108,677.5950148,171725.3702,-0.836817424,15.85134529,1.777518978,0.577452851,0.007403751,1,0,tertiary,0
"UG Conversion Project, 13.8 kV",2010-TBD,BYRON ST,187,20,104.47,124.47,3,1Ph Res,1,60.1,5.4,60.1,5.4,14771,2062400,0,1040,0.016042781,78.98930481,11028.87701,-1.794720345,11.12962963,1.778874472,0.73239376,0,1,1,residential ,1
"UG Conversion Project, 13.8 kV",2010-TBD,WHITTEMORE ST,1407,20,104.47,124.47,21,1Ph Res,1,60.1,5.4,60.1,5.4,102993,19213000,0,1010,0.014925373,73.20042644,13655.29495,-1.826074807,11.12962963,1.778874472,0.73239376,0,1,1,residential ,1
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,MAIN ST,180,93.93,0,93.93,406,"3Ph Trunk, 3Ph Com",0,58.16453202,4.666995074,90,9.5,1720109,365973300,111,1010,2.255555556,9556.161111,2033185,0.353253529,12.46295123,1.764658238,0.669037342,0.616666667,1,0,secondary,0
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,COMMONWEALTH AVE,1710,93.93,0,93.93,102,"3Ph Trunk, 3Ph Com, 1Ph Res",0,54.4245098,3.756862745,85,5.4,440638,73485200,20,1010,0.059649123,257.6830409,42973.80117,-1.224395937,14.48669102,1.735794526,0.574825329,0.011695906,1,0,tertiary,0
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,CHURCH ST,140,93.93,0,93.93,8,1Ph Res,1,45.4,2.1,81,5.4,33038,5439300,0,3250,0.057142857,235.9857143,38852.14286,-1.24303805,21.61904762,1.657055853,0.322219295,0,0,0,residential ,1
