project,Full_STR,street,length(ft),distribution Rate Per Foot ($),additional cost per foot,total cost,parcel(#),1/3phase,1 phase,SAND_mean,CLAY_mean,SAND_max,CLAY_max,BLD_AREA,TOTAL_VAL,density(#parcel/ft),BLD_AREA/length,TOTAL_VAL/length,log_density,SAND/CLAY,log_SAND,log_CLAY
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,HUBBARD ST,333,20,182.85,202.85,55,"3Ph Trunk, 3Ph Com, 1Ph Res",0,66.65272727,4.287272727,81.1,5.4,223002,64054600,0.165165165,669.6756757,192356.1562,-0.782081544,15.5466497,1.823817924,0.632181111
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,LAWS BROOK RD,430,93.93,0,93.93,63,"3Ph Trunk, 1Ph Res",0,61.06349206,4.571428571,90,5.4,244682,53856400,0.146511628,569.027907,125247.4419,-0.834127906,13.35763889,1.785781637,0.660051938
"UG Conversion Project, 13.8 kV",2010-TBD,SUDBURY RD,810.4,150,104.47,254.47,118,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.91271186,3.779661017,90,9.5,549123,139166240,0.145607108,677.5950148,171725.3702,-0.836817424,15.85134529,1.777518978,0.577452851
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,SUDBURY RD,1624,40,182.85,222.85,118,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.91271186,3.779661017,90,9.5,549123,139166240,0.072660099,338.1299261,85693.49754,-1.138704015,15.85134529,1.777518978,0.577452851
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,COMMONWEALTH AVE,1710,93.93,0,93.93,102,"3Ph Trunk, 3Ph Com, 1Ph Res",0,54.4245098,3.756862745,85,5.4,440638,73485200,0.059649123,257.6830409,42973.80117,-1.224395937,14.48669102,1.735794526,0.574825329
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,CHURCH ST,140,93.93,0,93.93,8,1Ph Res,1,45.4,2.1,81,5.4,33038,5439300,0.057142857,235.9857143,38852.14286,-1.24303805,21.61904762,1.657055853,0.322219295
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,"DEVENS ST, BELKNAP ST",1491,20,182.85,202.85,54,"3Ph Trunk, 3Ph Com, 1Ph Res",0,59.44673913,5.341304348,60.1,5.4,178352,50008700,0.036217304,119.6190476,33540.37559,-1.441083882,11.12962963,1.774128037,0.727647325
"West Concord Business District Utility Upgrade Project, 13.8 kV",2010-2011,BEHARRELL ST,215,93.93,0,93.93,6,"3Ph Com, 1Ph Res",0,10.01666667,0.9,60.1,5.4,220370,23787200,0.027906977,1024.976744,110638.1395,-1.554287206,11.12962963,1.000723222,-0.045757491
"UG Conversion Project, 13.8 kV",2010-TBD,BELKNAP ST,1801,20,104.47,124.47,46,1Ph Res,1,58.79347826,5.282608696,60.1,5.4,178352,36910100,0.025541366,99.0294281,20494.22543,-1.59275588,11.12962963,1.769329154,0.722848442
"Emerson Underground Utility Project, 13.8 kV",2007-TBD,"UNION ST, WILLOW ST, FIELDING ST",1179,20,182.85,202.85,23,"3Ph Trunk, 3Ph Com, 1Ph Res",0,67.88333333,4.125,81.1,5.4,26201,18877000,0.019508058,22.2230704,16011.02629,-1.709785962,16.45656566,1.83176316,0.615423953
