Strategy,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
S1,0,1.19E+09,0,2.62E+06
S2,0,1.19E+09,1020.823948,1.91E+06
S3,0,1.19E+09,2220.392903,1.25E+06
S4,1020.823948,8.65E+08,0,2.62E+06
S5,2220.392903,5.67E+08,0,2.62E+06
S6,1020.823948,8.65E+08,1020.823948,1.91E+06
S7,1020.823948,8.65E+08,1020.823948,1.91E+06
S8,1020.823948,8.65E+08,1020.823948,1.91E+06
S9,1020.823948,8.65E+08,1020.823948,1.91E+06
S10,2220.392903,5.67E+08,2220.392903,1.25E+06
S11,2220.392903,5.67E+08,2220.392903,1.25E+06
S12,2220.392903,5.67E+08,2220.392903,1.25E+06
S13,2220.392903,5.67E+08,2220.392903,1.25E+06
