year,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
0,0.0,0.0,0,0.0
1,44484.31124664103,17392359.29933315,0,8302656.637770341
2,5175.189717930897,16925300.82146447,0,8302656.637770341
3,9152.561815980895,16870964.44613122,0,8302656.637770341
4,16915.312308822788,16774868.059100077,0,8302656.637770341
5,22506.599451154485,16597267.466931108,0,8302656.637770341
6,20197.765383740218,16360961.727063103,0,8302656.637770341
7,15820.253536294491,16148897.354431262,0,8302656.637770341
8,26546.8358816999,15982794.219885902,0,8302656.637770341
9,31225.48430747051,15704068.430688195,0,8302656.637770341
10,26451.02112129537,15376219.650688015,0,8302656.637770341
11,36003.50802929677,15098499.858771097,0,8302656.637770341
12,45578.40272592271,14720484.707207609,0,8302656.637770341
13,45258.28973735493,14241938.927711863,0,8302656.637770341
14,50667.16477368156,13766754.14181131,0,8302656.637770341
15,42022.10141187823,13234779.425468942,0,8302656.637770341
16,43853.757482465655,12793572.668024603,0,8302656.637770341
17,52452.23096457065,12333134.624935213,0,8302656.637770341
18,37813.315285227836,11782417.78862635,0,8302656.637770341
19,54731.406108274525,11385400.75081348,0,8302656.637770341
20,38253.64993938829,10810753.948105626,0,8302656.637770341
21,25273.14829307125,10409113.661611112,0,8302656.637770341
22,32269.868257735412,10143760.825028693,0,8302656.637770341
23,25461.126025482725,9804946.642520275,0,8302656.637770341
24,23604.79714272241,9537620.152955202,0,8302656.637770341
25,18347.866972245003,9289783.998704044,0,8302656.637770341
26,13423.014947670941,9097142.445310524,0,8302656.637770341
27,8945.23133856612,8956208.872233314,0,8302656.637770341
28,3543.255495942167,8862289.330352372,0,8302656.637770341
29,2588.2016094663413,8825087.281534325,0,8302656.637770341
30,3670.333837587442,8797912.72335285,0,8302656.637770341
31,2665.471815599639,8759376.428479165,0,8302656.637770341
32,222.23938189267358,8731390.57966848,0,8302656.637770341
33,0.0,8729057.2,0,8302656.637770341
34,0.0,8729057.2,0,8302656.637770341
35,0.0,8729057.2,0,8302656.637770341
36,0.0,8729057.2,0,8302656.637770341
37,0.0,8729057.2,0,8302656.637770341
38,0.0,8729057.2,0,8302656.637770341
39,0.0,8729057.2,0,8302656.637770341
