year,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
0,0.0,0.0,0.0,0.0
1,44484.31124664103,4800291.16661595,44484.31124664103,2220604.4317562273
2,5175.189717930897,4671383.026724192,5175.189717930897,2160971.801818304
3,9152.561815980895,4656386.187132216,9152.561815980895,2154034.295882856
4,16915.312308822788,4629863.584311621,16915.312308822788,2141764.996517284
5,22506.599451154485,4580845.820872985,22506.599451154485,2119089.483939294
6,20197.765383740218,4515625.436669416,20197.765383740218,2088918.6736329286
7,15820.253536294491,4457095.669823028,15820.253536294491,2061842.9286129922
8,26546.8358816999,4411251.204688508,26546.8358816999,2040635.3770467031
9,31225.48430747051,4334322.886869942,31225.48430747051,2005048.5016789143
10,26451.02112129537,4243836.623589892,26451.02112129537,1963189.749724417
11,36003.50802929677,4167185.961020823,36003.50802929677,1927731.3170814828
12,45578.40272592271,4062853.7791893003,45578.40272592271,1879467.4728044688
13,45258.28973735493,3930775.144048474,45258.28973735493,1818368.1785421178
14,50667.16477368156,3799624.143139921,50667.16477368156,1757698.0058925475
15,42022.10141187823,3652799.1214294275,42022.10141187823,1689777.0647274572
16,43853.757482465655,3531026.05637479,43853.757482465655,1633445.1051560342
17,52452.23096457065,3403945.1564821186,52452.23096457065,1574657.7525354691
18,37813.315285227836,3251947.3096608724,37813.315285227836,1504343.8735324568
19,54731.406108274525,3142370.6072245203,54731.406108274525,1453653.9252352298
20,38253.64993938829,2983768.0896771527,38253.64993938829,1380284.739673583
21,25273.14829307125,2872915.370604666,25273.14829307125,1329004.5088083113
22,32269.868257735412,2799677.9877079194,32269.868257735412,1295125.0520449844
23,25461.126025482725,2706165.2733355956,25461.126025482725,1251866.2702850592
24,23604.79714272241,2632383.162215635,23604.79714272241,1217734.8234101778
25,18347.866972245003,2563980.3836423163,18347.866972245003,1186091.8442715951
26,13423.014947670941,2510811.314905704,13423.014947670941,1161495.946737299
27,8945.23133856612,2471913.6487363945,8945.23133856612,1143501.9695216555
28,3543.255495942167,2445991.855177254,3543.255495942167,1131510.6032360396
29,2588.2016094663413,2435724.0897034733,2588.2016094663413,1126760.7568779937
30,3670.333837587442,2428223.9116453864,3670.333837587442,1123291.1905419813
31,2665.471815599639,2417587.8942602486,2665.471815599639,1118370.9916369796
32,222.23938189267358,2409863.7999885003,222.23938189267358,1114797.8421392087
33,0.0,2409219.7871999997,0.0,1114499.9231999998
34,0.0,2409219.7871999997,0.0,1114499.9231999998
35,0.0,2409219.7871999997,0.0,1114499.9231999998
36,0.0,2409219.7871999997,0.0,1114499.9231999998
37,0.0,2409219.7871999997,0.0,1114499.9231999998
38,0.0,2409219.7871999997,0.0,1114499.9231999998
39,0.0,2409219.7871999997,0.0,1114499.9231999998
