Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br,lifecycle_infrastructure_el,environmental_restoration_el,safety_el
S1,1572233.021,0,1516317.328,3231938.049,838321.0368,0,1515863.357,2354184.394,2410554.058,0,3032180.685
S2,1547044.37,0,1516317.328,3063361.698,12998311.64,856715.4179,2294161.761,15370890.42,14545356.01,856715.4179,3810479.088
S3,1547044.37,0,1516317.328,3063361.698,30220042.42,2539788.091,3847471.406,34275693.87,31767086.79,2539788.091,5363788.733
S4,13417867.17,856715.4179,2294161.761,16568744.35,838321.0368,0,1515863.357,2354184.394,14256188.21,856715.4179,3810025.118
S5,30695716.06,2539788.091,3847471.406,37082975.55,838321.0368,0,1515863.357,2354184.394,31534037.09,2539788.091,5363334.763
S6,13692982.44,856715.4179,2294161.761,16843859.62,3994539.278,856715.4179,2294161.761,6367118.053,17687521.72,1713430.836,4588323.522
S7,13417867.17,856715.4179,2294161.761,16568744.35,12998311.64,856715.4179,2294161.761,15370890.42,26416178.82,1713430.836,4588323.522
S8,13692982.44,856715.4179,2294161.761,16843859.62,1976700.45,856715.4179,1515863.357,4349279.225,15669682.89,1713430.836,3810025.118
S9,13417867.17,856715.4179,2294161.761,16568744.35,5791744.4,856715.4179,1515863.357,8164323.175,19209611.57,1713430.836,3810025.118
S10,31348271.48,2539788.091,3847471.406,37735530.98,8863683.073,2539788.091,3847471.406,12919334.52,40211954.55,5079576.182,7694942.811
S11,30695716.06,2539788.091,3847471.406,37082975.55,30220042.42,2539788.091,3847471.406,34275693.87,60915758.48,5079576.182,7694942.811
S12,31348271.48,2539788.091,3847471.406,37735530.98,4049495.226,2539788.091,1515863.357,8105146.674,35397766.71,5079576.182,5363334.763
S13,30695716.06,2539788.091,3847471.406,37082975.55,13026514.4,2539788.091,1515863.357,17082165.84,43722230.45,5079576.182,5363334.763
