year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,119356.39931864766,25228.053844005008,145089.0142395328,0,112577.76580131633,46773.74848240685,159351.51428372317,304440.52852325595,57706.93132001205,13139.935364791281,71109.66539209917,0,109759.50718175338,45602.81993455792,155362.3271163113,226471.99250841045
2,27871.636595673168,25732.61492088511,54118.90381497598,0,119324.08238373518,49576.70440147929,168900.78678521447,223019.69060019046,8926.06848438339,13402.734072087107,22596.857237912238,0,109759.50718175338,45602.81993455792,155362.3271163113,177959.18435422354
3,37747.61450755927,25732.61492088511,64519.82707124814,0,119324.08238373518,49576.70440147929,168900.78678521447,233420.61385646262,11967.78937481681,13402.734072087105,25911.993903416234,0,109759.50718175338,45602.81993455792,155362.3271163113,181274.32101972753
4,33897.68959561126,26247.267219302812,61205.346410573904,0,119324.08238373518,49576.70440147929,168900.78678521447,230106.13319578837,24251.33222901163,13670.788753528848,38474.42084818304,0,109759.50718175338,45602.81993455792,155362.3271163113,193836.74796449434
5,45912.6837102761,26247.267219302812,73766.493661538,0,119324.08238373518,49576.70440147929,168900.78678521447,242667.28044675247,32072.030197868968,13670.788753528848,46579.58058942381,0,109759.50718175338,45602.81993455792,155362.3271163113,201941.90770573512
6,55560.351965237685,26772.212563688867,83971.23811552483,0,119324.08238373518,49576.70440147929,168900.78678521447,252872.02490073928,37659.14016325193,13944.204528599426,52456.84156263786,0,109759.50718175338,45602.81993455792,155362.3271163113,207819.16867894918
7,77626.64906560989,26772.212563688867,106605.75293890278,0,119324.08238373518,49576.70440147929,168900.78678521447,275506.53972411726,34358.186832311156,13944.204528599426,49451.84225968481,0,109759.50718175338,45602.81993455792,155362.3271163113,204814.1693759961
8,131441.78295866295,27307.656814962647,161000.46890942167,0,119324.08238373518,49576.70440147929,168900.78678521447,329901.25569463614,60920.8060510155,14223.088619171414,76316.33458693663,0,109759.50718175338,45602.81993455792,155362.3271163113,231678.66170324793
9,104341.04981994639,27307.656814962644,134490.9094897203,0,119324.08238373518,49576.70440147929,168900.78678521447,303391.69627493474,51170.056774002034,14223.088619171414,66873.49588064158,0,109759.50718175338,45602.81993455792,155362.3271163113,222235.8229969529
