year,capex,opex,lifecycle infrastructure,environmental restoration,non fatal,fatal,safety,total cost
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10211.078155310941,0.0,10211.078155311,343.73919737911757,186.2017093256818,70.23744619799163,256.4391555236725,10811.2565082137
2,17078.244910334994,0.0,17078.244910335023,891.3683875748509,372.4034186513636,140.4748923959828,512.878311047345,18482.491608957236
3,0.0,0.0,0.0,891.3683875748509,372.4034186513636,140.4748923959828,512.878311047345,1404.2466986221843
4,0.0,0.0,0.0,891.3683875748509,372.4034186513636,140.4748923959828,512.878311047345,1404.2466986221843
5,0.0,0.0,0.0,891.3683875748509,372.4034186513636,140.4748923959828,512.878311047345,1404.2466986221843
6,12619.261495907762,0.0,12619.261495907762,1213.459963955779,558.6051279770454,210.71233859397398,769.3174665710176,14602.038926434558
7,0.0,0.0,0.0,1213.459963955779,558.6051279770454,210.71233859397398,769.3174665710176,1982.7774305267958
8,22791.30596187836,0.0,22791.30596187833,1735.0412761828948,744.8068373027272,280.9497847919656,1025.756622094692,25552.10386015597
9,12074.29966756975,0.0,12074.299667569809,2122.1226135761926,931.0085466284072,351.18723098995724,1282.1957776183644,15478.618058764376
10,0.0,0.0,0.0,2122.1226135761926,931.0085466284072,351.18723098995724,1282.1957776183644,3404.318391194567
11,29507.79266286167,0.0,29507.79266286164,2999.940972201608,1303.4119652797708,491.6621233859396,1795.0740886657095,34302.80772372894
12,44982.48962991571,0.0,44982.48962991574,3973.0703506671,1489.6136746054526,561.8995695839312,2051.513244189382,51007.07322477223
13,94846.50572629814,0.0,94846.50572629814,6100.627479473666,2234.420511908178,842.8493543758968,3077.2698662840758,104024.40307205584
14,99650.79563127796,0.0,99650.79563127796,8289.469303459366,2979.2273492109052,1123.7991391678624,4103.026488378766,112043.29142311617
15,32639.716811425867,0.0,32639.716811425867,9475.954133049785,3537.832477187949,1334.5114777618364,4872.343954949783,46988.01489942544
16,268634.96539911866,0.0,268634.96539911866,16513.03791183278,5213.647861119081,1966.6484935437593,7180.29635466284,292328.29966561426
17,115175.62701145449,0.0,115175.62701145455,20151.38006191781,5958.454698421809,2247.598278335725,8206.052976757534,143533.06005012983
18,133803.8064294327,0.0,133803.8064294327,24356.57946062597,7634.270082352943,2879.7352941176478,10514.00537647059,168674.39126652927
19,49767.45008242875,0.0,49767.45008242875,25582.64488287227,8565.27862898135,3230.922525107604,11796.201154088953,87146.29611939
20,192626.25001588045,0.0,192626.25001588045,30675.014257728224,10613.497431563845,4003.53443328551,14617.031864849354,237918.29613845795
21,461559.4143915094,0.0,461559.41439150943,43142.26603916175,14337.531618077477,5408.283357245337,19745.814975322814,524447.495405994
22,172167.02471841394,0.0,172167.02471841394,48161.32568866836,16571.95212998565,6251.132711621235,22823.08484160689,243151.4352486892
23,305534.5977331643,0.0,305534.5977331644,57037.76427429975,19923.58289784792,7515.406743185079,27438.989641033004,390011.35164849716
24,562878.5963987214,0.0,562878.5963987214,73442.75927841694,25509.63417761836,9622.530129124822,35132.16430674319,671453.5199838814
25,838077.0415522864,0.0,838077.0415522866,95270.35813175148,31468.088876040172,11870.128407460546,43338.21728350072,976685.6169675388
26,685264.8367072358,0.0,685264.8367072358,114858.77802996198,38171.3504117647,14398.676470588234,52570.02688235294,852693.6416195508
27,552563.5977360784,0.0,552563.5977360783,130201.75104095454,44688.41023816356,16856.987087517933,61545.3973256815,744310.7461027144
28,779566.3159397595,0.0,779566.3159397596,155947.69661165823,53439.890576470585,20158.14705882353,73598.03763529411,1009112.050186712
29,999677.0473397347,0.0,999677.0473397349,186231.14067186686,63680.98458938307,24021.206599713056,87702.19118909612,1273610.3792006979
30,959966.7495020004,0.0,959966.7495020004,211884.16211341112,73735.87689296987,27814.02869440459,101549.90558737447,1273400.817202786
31,1247425.7023386378,0.0,1247425.7023386378,246801.4819102935,84907.97945251077,32028.275466284078,116936.25491879483,1611163.4391677263
32,1624961.7976804168,0.0,1624961.7976804166,291004.8318315602,98686.90594261119,37225.84648493544,135912.75242754663,2051879.3819395236
33,1484637.2395526615,0.0,1484637.2395526615,334897.7262387736,113210.63927001435,42704.36728837877,155915.00655839313,1975449.972349828
34,1853281.1206298932,0.0,1853281.1206298932,384036.3155719122,129782.59140000002,48955.50000000001,178738.0914,2416055.5276018055
35,1494594.549053965,0.0,1494594.549053965,424790.6540753049,144306.32472740315,54434.02080344334,198740.3455308465,2118125.5486601163
36,1507695.6881109583,0.0,1507695.6881109586,467321.38949875766,158085.25121750357,59631.5918220947,217716.8430395983,2192733.9206493143
37,1971499.4758884164,0.0,1971499.4758884164,518191.1914402665,174657.20334748924,65882.72453371594,240539.9278812052,2730230.595209888
38,1291896.368746182,0.0,1291896.368746182,554863.7184984703,187691.32300028694,70799.34576757533,258490.66876786225,2105250.7560125142
39,1974274.5280995232,0.0,1974274.5280995232,607943.935250143,204635.67854892396,77190.95337159255,281826.6319205165,2864045.095270183
