year,capex,opex,lifecycle infrastructure,environmental restoration,non fatal,fatal,safety,total cost
0,0.0,52551.96559678537,52551.96559678537,0.0,0.0,0.0,0.0,52551.96559678537
1,357561.0754502384,55179.56387662464,412740.6393268631,343.73919737911757,10508.000724745376,3963.7398508616334,14471.74057560701,427556.1190998492
2,169259.49558705816,57938.54207045587,227198.03765751404,891.3683875748509,10694.202434071058,4033.9772970596246,14728.179731130682,242817.58577621958
3,91125.65512521261,60835.469173978665,151961.12429919126,891.3683875748509,10694.202434071058,4033.9772970596246,14728.179731130682,167580.6724178968
4,215119.09581655927,63877.2426326776,278996.3384492369,891.3683875748509,10694.202434071058,4033.9772970596246,14728.179731130682,294615.8865679424
5,111417.41311338908,67071.10476431147,178488.51787770056,891.3683875748509,10694.202434071058,4033.9772970596246,14728.179731130682,194108.06599640608
6,184370.05688676343,70424.66000252706,254794.7168892905,1213.459963955779,10880.40414339674,4104.214743257616,14984.618886654354,270992.7957399006
7,224042.59058148504,73945.8930026534,297988.48358413845,1213.459963955779,10880.40414339674,4104.214743257616,14984.618886654354,314186.5624347486
8,208614.81110990487,77643.18765278607,286257.9987626909,1735.0412761828948,11066.605852722421,4174.452189455607,15241.058042178029,303234.0980810519
9,293251.80634084356,81525.34703542538,374777.153376269,2122.1226135761926,11252.807562048101,4244.689635653599,15497.497197701701,392396.7731875469
10,252994.28458266807,85601.61438719665,338595.8989698647,2122.1226135761926,11252.807562048101,4244.689635653599,15497.497197701701,356215.5187811426
11,258637.97824524555,89881.69510655648,348519.67335180205,2999.940972201608,11625.210980699465,4385.164528049581,16010.375508749046,367529.9898327527
12,299281.3017006272,94375.77986188431,393657.0815625115,3973.0703506671,11811.412690025147,4455.401974247573,16266.814664272719,413896.9665774514
13,420536.72765391885,99094.56885497853,519631.2965088973,6100.627479473666,12556.219527327872,4736.351759039539,17292.571286367413,543024.4952747384
14,464831.8433124224,104049.29729772745,568881.1406101498,8289.469303459366,13301.0263646306,5017.301543831504,18318.327908462103,595488.9378220714
15,491196.7840603305,109251.76216261381,600448.5462229443,9475.954133049785,13859.631492607643,5228.013882425478,19087.64537503312,629012.1457310272
16,597616.2684199725,114714.35027074452,712330.618690717,16513.03791183278,15535.446876538776,5860.150898207401,21395.597774746177,750239.254377296
17,454054.90771221695,120450.06778428174,574504.9754964988,20151.38006191781,16280.253713841503,6141.100682999367,22421.35439684087,617077.7099552574
18,450691.40783620405,126472.57117349583,577163.9790096999,24356.57946062597,17956.069097772637,6773.2376987812895,24729.306796553927,626249.8652668798
19,408450.37908226944,132796.19973217061,541246.57881444,25582.64488287227,18887.077644401044,7124.424929771246,26011.50257417229,592840.7262714846
20,551838.7708759013,139436.00971877915,691274.7805946805,30675.014257728224,20935.29644698354,7897.036837949152,28832.33328493269,750782.1281373414
21,790956.6001494855,146407.81020471812,937364.4103542037,43142.26603916175,24659.33063349717,9301.78576190898,33961.11639540615,1014467.7927887716
22,368139.01858415414,153728.200714954,521867.21929910814,48161.32568866836,26893.751145405346,10144.635116284877,37038.386261690226,607066.9312494667
23,648428.0805549897,161414.61075070172,809842.6913056915,57037.76427429975,30245.381913267614,11408.90914784872,41654.29106111634,908534.7466411076
24,848455.0441947386,169485.34128823678,1017940.3854829754,73442.75927841694,35831.43319303806,13516.032533788462,49347.46572682652,1140730.6104882187
25,1103534.4804454613,177959.60835264865,1281494.0887981101,95270.35813175148,41789.88789145987,15763.630812124187,57553.51870358406,1434317.9656334457
26,907447.0278022052,186857.58877028106,1094304.6165724862,114858.77802996198,48493.1494271844,18292.178875251877,66785.32830243628,1275948.7229048845
27,706393.334172791,196200.46820879512,902593.802381586,130201.75104095454,55010.209253583256,20750.489492181576,75760.69874576484,1108556.2521683055
28,949375.2699738201,206010.49161923488,1155385.761593055,155947.69661165823,63761.68959189028,24051.649463487174,87813.33905537745,1399146.7972600907
29,1193286.075463066,216311.0162001966,1409597.0916632628,186231.14067186686,74002.78360480277,27914.7090043767,101917.49260917946,1697745.724944309
30,1098099.137702491,227126.56701020646,1325225.7047126973,211884.16211341112,84057.67590838956,31707.531099068234,115765.20700745781,1652875.0738335662
31,1451890.3068719876,238482.89536071676,1690373.2022327045,246801.4819102935,95229.77846793046,35921.77787094772,131151.55633887817,2068326.2404818763
32,1838238.9273885062,250407.04012875262,2088645.9675172588,291004.8318315602,109008.70495803088,41119.34888959908,150128.05384762996,2529778.853196449
33,1693860.0362270453,262927.39213519025,1956787.4283622357,334897.7262387736,123532.43828543404,46597.86969304241,170130.30797847646,2461815.4625794855
34,2087508.3964511873,276073.76174194977,2363582.158193137,384036.3155719122,140104.3904154197,52849.002404663646,192953.39282008333,2940571.8665851327
35,1688856.8959201365,289877.44982904725,1978734.3457491838,424790.6540753049,154628.12374282285,58327.52320810698,212955.64695092983,2616480.6467754184
36,1710425.52696275,304371.32232049963,2014796.8492832496,467321.38949875766,168407.05023292327,63525.09422675834,231932.1444596816,2714050.383241689
37,2213978.865142942,319589.8884365246,2533568.7535794666,518191.1914402665,184979.00236290894,69776.22693837958,254755.22930128852,3306515.174321022
38,1466702.0810569532,335569.3828583508,1802271.463915304,554863.7184984703,198013.12201570664,74692.84817223897,272705.9701879456,2629841.15260172
39,2227290.2279491634,352347.85200126836,2579638.079950432,607943.935250143,214957.47756434366,81084.45577625619,296041.9333405998,3483623.948541175
