Parameter,%change in cost resulted from +%10 change in parameter,%change in cost resulted from -%10 change in parameter
r,-13.30692985,16.49866429
over corridor width,-0.248233864,0.248233864
under corridor width,0.496467728,-0.496467728
over replcost,1.37788293,-1.37788293
under replcost,7.513519109,-7.513519109
overhead proportion,-9.027744408,12.64060054
over lifespan,-6.720924588,17.27465976
under lifespan,-13.44788029,19.80251512
over om percentage replcost,1.37788293,-1.37788293
under om percentage replcost,2.474659498,-2.474659498
length shape,13.34544389,-7.344526958
length scale,10.00349032,-10.00285572
age shape,15.23586924,-11.68880935
age scale,17.36283933,-13.15507157
