Parameter,%change in cost resulted from +%10 change in parameter,%change in cost resulted from -%10 change in parameter
"replcost_B,OH",27.765632,-27.765632
"replcost_B,UG",27.554089,-27.554089
"oppro_B,UG",26.486879,-26.486879
"oppro_B,OH",26.357523,-26.357523
age_scale,10.620109,-8.963695
age_shape,10.003797,-8.532393
ls_UG,-6.505061,9.003213
r,-7.135782,8.587644
ls_OH,-6.241388,8.165251
length_scale,6.305768,-6.305768
length_shape,3.315017,-2.848466
"replcost_E,OH",3.036224,-3.036224
"replcost_E,UG",2.664323,-2.664323
overhead_proportion,-1.965251,1.922949
"oppro_E,UG",0.688007,-0.688007
"oppro_E,OH",0.445548,-0.445548
