Parameter,%change in cost resulted from +%10 change in parameter,%change in cost resulted from -%10 change in parameter
r,-7.135782,8.587644
cw_OH,0,0
cw_UG,0,0
"replcost_E,OH",3.036224,-3.036224
"replcost_E,UG",2.664323,-2.664323
overhead_proportion,-1.965251,1.922949
ls_OH,-6.241388,8.165251
ls_UG,-6.505061,9.003213
"oppro_E,OH",0.445548,-0.445548
"oppro_E,UG",0.688007,-0.688007
length_shape,3.315017,-2.848466
length_scale,6.305768,-6.305768
age_shape,10.003797,-8.532393
age_scale,10.620109,-8.963695
avg_length,0,0
"replcost_B,OH",-24.465078,-27.765632
"replcost_B,UG",-24.67662,-27.554089
"oppro_B,OH",-25.873186,-26.357523
"oppro_B,UG",-25.743831,-26.486879
over_under_joint_proportion_convertcost,-26.115355,-26.115355
joint_trench_additional,0,0
