year,net benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-122038091.6,0.33837619,-110943719.6,1.1
2,-122145528.3,0.33837619,-100946717.6,1.21
3,-122154901.8,0.33837619,-91776785.73,1.331
4,-122190583.8,0.33837619,-83457812.85,1.4641
5,-122213584.3,0.33837619,-75885020.46,1.61051
6,-122230359,0.33837619,-68995851.12,1.771561
7,-122221839,0.33837619,-62719128.91,1.9487171
8,-122298242.7,0.33837619,-57053032.81,2.14358881
9,-122271202.4,0.33837619,-51854925.73,2.357947691
10,-122293914.4,0.33837619,-47149598.03,2.59374246
npv,,0.33837619,-750819270.1,
