year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-119171812.7,0.37404918,-108338011.5,1.1
2,-116474823.2,0.378199284,-96260184.46,1.21
3,-110775249.9,0.385538933,-83227084.82,1.331
4,-108838380.4,0.39910371,-74338078.27,1.4641
5,-105910352.9,0.417152269,-65761996.45,1.61051
6,-101940049.2,0.433349321,-57542500.2,1.771561
7,-97984372.59,0.446035945,-50281476.25,1.9487171
8,-94177839.51,0.467324462,-43934657.18,2.14358881
9,-90304957.02,0.492364895,-38298117.2,2.357947691
10,-85801148.77,0.513576576,-33080057.13,2.59374246
11,-81245420.12,0.542448616,-28476024.11,2.853116706
12,-76951612.25,0.578998983,-24519155.13,3.138428377
13,-71694243.88,0.615292645,-20767268.69,3.452271214
14,-67429190.73,0.655923808,-17756213.37,3.797498336
15,-62997990.02,0.689622296,-15081217.94,4.177248169
16,-60122073.93,0.72478963,-13084314.99,4.594972986
17,-58869954.5,0.766852279,-11647106.66,5.054470285
18,-56429082.72,0.797175644,-10149266.53,5.559917313
19,-57662257.48,0.841066015,-9428239.867,6.115909045
20,-56833402.46,0.871742495,-8447923.135,6.727499949
21,-56987422.52,0.892009613,-7700742.941,7.400249944
22,-59448315.15,0.917887561,-7302986.152,8.140274939
23,-60285831.09,0.938305423,-6732610.557,8.954302433
24,-62049470.09,0.957234652,-6299609.556,9.849732676
25,-63501698.47,0.971948227,-5860952.648,10.83470594
26,-64461972.82,0.982712451,-5408711.023,11.91817654
27,-65550415.41,0.989885838,-5000033.902,13.10999419
28,-65738003.7,0.992727256,-4558493.366,14.42099361
29,-66353729.76,0.994802794,-4182899.885,15.86309297
30,-66699770.68,0.997746119,-3822467.363,17.44940227
npv,,0.997746119,-867325078.5,
