Year,Net benefit,Underground proportion
0,36677.25265,0.33837619
1,35578721.71,0.892009613
2,38285788.63,0.917887561
3,40650940.92,0.938305423
4,42917533.05,0.957234652
5,44998560,0.971948227
6,46809940.48,0.982712451
7,48526984.57,0.989885838
8,49889443.54,0.992727256
9,51240523.42,0.994802794
10,52570980.38,0.997746119
11,53969637.95,0.999883622
12,55187572.82,1.000061841
13,56386498.87,1.000061841
14,57586373.83,1.000061841
15,58787216.69,1.000061841
16,59989046.8,1.000061841
17,61191883.91,1.000061841
18,62395748.17,1.000061841
19,63600660.1,1.000061841
20,64806640.68,1.000061841
21,66013711.26,1.000061841
22,67221893.65,1.000061841
23,68431210.09,1.000061841
24,69641683.26,1.000061841
25,70853336.28,1.000061841
26,72066192.77,1.000061841
27,73644869.65,1.000061841
28,75203530.06,1.000061841
29,76836393.42,1.000061841
30,78457345.41,1.000061841
31,80007945.34,1.000061841
32,81443936.37,1.000061841
33,83049751.83,1.000061841
34,84543256.52,1.000061841
35,85982532.39,1.000061841
36,87383384.61,1.000061841
37,88722717.25,1.000061841
38,90018423.55,1.000061841
39,91320136.9,1.000061841
