Year,Net benefit,Underground proportion
0,36677.25265,0.33837619
1,13438718.74,0.615192901
2,14577574.25,0.628131876
3,15630779.31,0.638340806
4,16699387.34,0.647805421
5,17707523.75,0.655162209
6,18648545.31,0.66054432
7,19509003.8,0.664131014
8,20319604.3,0.665551723
9,21097904.08,0.666589492
10,21917084.77,0.668061154
11,22747853.84,0.669129906
12,23604745.07,0.669219015
13,24428535.47,0.669219015
14,25343700.91,0.669219015
15,26178731.52,0.669219015
16,27059126.76,0.669219015
17,28005081.75,0.669219015
18,28885623.69,0.669219015
19,29888120.15,0.669219015
20,30826421.29,0.669219015
21,31708693.73,0.669219015
22,32637759.46,0.669219015
23,33594030.71,0.669219015
24,34578000.71,0.669219015
25,35619707.77,0.669219015
26,36538042.87,0.669219015
27,37592623.38,0.669219015
28,38606558.82,0.669219015
29,39691132.03,0.669219015
30,40768445.84,0.669219015
31,41771500.22,0.669219015
32,42649730.97,0.669219015
33,43696836.69,0.669219015
34,44631631.64,0.669219015
35,45512197.76,0.669219015
36,46354340.24,0.669219015
37,47134963.14,0.669219015
38,47871959.7,0.669219015
39,48614963.31,0.669219015
