Year,Net benefit,Underground proportion,,year 0,year 1,year 2,year 3,year 4,year 5,year 6,year 7,year 8,year 9,year 10,year 11,year 12,year 13,year 14,year 15,year 16,year 17,year 18,year 19,year 20,year 21,year 22,year 23,year 24,year 25,year 26,year 27,year 28,year 29,year 30,year 31,year 32,year 33,year 34,year 35,year 36,year 37,year 38,year 39
0,36677.25265,0.33837619,Net benefit,36677.25265,1007576.851,1222369.232,1520570.203,1999575.477,2615960.728,3229882.941,3776746.224,4619013.906,5551668.944,6447834.299,7606857.357,9114941.643,10619850.06,12427869.19,13980591.21,15687483.99,17734813.07,19404116.25,21696028.68,23560206.36,25068696.08,26853275.9,28545565.76,30262569.66,31958610.22,33353080.76,34653759.7,35764093.67,36921412.78,38108547.32,39194013.87,40079281.75,41126387.47,42061182.42,42941748.55,43783891.02,44564513.92,45301510.48,46044514.1
1,1007576.851,0.356212685,Underground proportion,0.33837619,0.356212685,0.358287737,0.361957561,0.36873995,0.377764229,0.385862755,0.392206068,0.402850326,0.415370542,0.425976383,0.440412403,0.458687587,0.476834417,0.497149999,0.513999243,0.53158291,0.552614234,0.567775917,0.589721102,0.605059343,0.615192901,0.628131876,0.638340806,0.647805421,0.655162209,0.66054432,0.664131014,0.665551723,0.666589492,0.668061154,0.669129906,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015
2,1222369.232,0.358287737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1520570.203,0.361957561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999575.477,0.36873995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2615960.728,0.377764229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3229882.941,0.385862755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3776746.224,0.392206068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4619013.906,0.402850326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5551668.944,0.415370542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6447834.299,0.425976383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7606857.357,0.440412403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9114941.643,0.458687587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10619850.06,0.476834417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12427869.19,0.497149999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13980591.21,0.513999243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15687483.99,0.53158291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17734813.07,0.552614234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19404116.25,0.567775917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21696028.68,0.589721102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23560206.36,0.605059343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25068696.08,0.615192901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,26853275.9,0.628131876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28545565.76,0.638340806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30262569.66,0.647805421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,31958610.22,0.655162209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,33353080.76,0.66054432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34653759.7,0.664131014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,35764093.67,0.665551723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,36921412.78,0.666589492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,38108547.32,0.668061154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,39194013.87,0.669129906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,40079281.75,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,41126387.47,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,42061182.42,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,42941748.55,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,43783891.02,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,44564513.92,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,45301510.48,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,46044514.1,0.669219015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
