Year,Net benefit,Underground proportion
0,36677.25265,0.33837619
1,272047.9925,0.33837619
2,369643.6767,0.33837619
3,476612.9437,0.33837619
4,619264.1198,0.33837619
5,784915.8869,0.33837619
6,967342.3188,0.33837619
7,1141248.776,0.33837619
8,1391558.899,0.33837619
9,1614828.73,0.33837619
10,1860810.554,0.33837619
11,2151879.755,0.33837619
12,2560737.447,0.33837619
13,2925416.551,0.33837619
14,3430367.281,0.33837619
15,3811305.312,0.33837619
16,4261600.922,0.33837619
17,4812420.734,0.33837619
18,5261794.251,0.33837619
19,5898617.831,0.33837619
20,6435820.397,0.33837619
21,6886001.85,0.33837619
22,7407737.265,0.33837619
23,7970678.872,0.33837619
24,8575634.46,0.33837619
25,9268805.055,0.33837619
26,9771271.864,0.33837619
27,10285956.02,0.33837619
28,10748782.84,0.33837619
29,11280309.67,0.33837619
30,11807105.57,0.33837619
31,12257518.28,0.33837619
32,12577555.34,0.33837619
33,13065951.32,0.33837619
34,13442036.53,0.33837619
35,13763892.91,0.33837619
36,14047325.65,0.33837619
37,14269238.81,0.33837619
38,14447525.63,0.33837619
39,14631819.5,0.33837619
