Year,Net benefit,Underground proportion
0,36677.25265,0.33837619
1,2773449.783,0.37404918
2,3213412.264,0.378199284
3,3898733.496,0.385538933
4,5081421.71,0.39910371
5,6745482.414,0.417152269
6,8262048.571,0.433349321
7,9576454.241,0.446035945
8,11513050.97,0.467324462
9,13856676.31,0.492364895
10,16147143.01,0.513576576
11,19133589.08,0.542448616
12,23037900.94,0.578998983
13,26829926.93,0.615292645
14,31502949.36,0.655923808
15,35491633.68,0.689622296
16,39729343.65,0.72478963
17,45063224.68,0.766852279
18,49083944.14,0.797175644
19,54853472.85,0.841066015
20,59415489.93,0.871742495
21,62829897.83,0.892009613
22,67175302.15,0.917887561
23,70962475.94,0.938305423
24,74613089.41,0.957234652
25,78000472.23,0.971948227
26,80730123.05,0.982712451
27,83265596.49,0.989885838
28,85150369.76,0.992727256
29,87069850.58,0.994802794
30,88968836.92,0.997746119
31,90872896.81,0.999883622
32,92342987.72,1.000061841
33,93948803.19,1.000061841
34,95442307.88,1.000061841
35,96881583.74,1.000061841
36,98282435.96,1.000061841
37,99621768.6,1.000061841
38,100917474.9,1.000061841
39,102219188.3,1.000061841
