,I_NN,I_NC,I_NA,I_CN,I_AN,J_CC,I_CC,J_AA,I_AA
year 0,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619
year 1,0.33837619,0.356212685,0.615192901,0.356212685,0.615192901,0.37404918,0.37404918,0.892009613,0.892009613
year 2,0.33837619,0.358287737,0.628131876,0.358287737,0.628131876,0.378199284,0.378199284,0.917887561,0.917887561
year 3,0.33837619,0.361957561,0.638340806,0.361957561,0.638340806,0.385538933,0.385538933,0.938305423,0.938305423
year 4,0.33837619,0.36873995,0.647805421,0.36873995,0.647805421,0.39910371,0.39910371,0.957234652,0.957234652
year 5,0.33837619,0.377764229,0.655162209,0.377764229,0.655162209,0.417152269,0.417152269,0.971948227,0.971948227
year 6,0.33837619,0.385862755,0.66054432,0.385862755,0.66054432,0.433349321,0.433349321,0.982712451,0.982712451
year 7,0.33837619,0.392206068,0.664131014,0.392206068,0.664131014,0.446035945,0.446035945,0.989885838,0.989885838
year 8,0.33837619,0.402850326,0.665551723,0.402850326,0.665551723,0.467324462,0.467324462,0.992727256,0.992727256
year 9,0.33837619,0.415370542,0.666589492,0.415370542,0.666589492,0.492364895,0.492364895,0.994802794,0.994802794
year 10,0.33837619,0.425976383,0.668061154,0.425976383,0.668061154,0.513576576,0.513576576,0.997746119,0.997746119
year 11,0.33837619,0.440412403,0.669129906,0.440412403,0.669129906,0.542448616,0.542448616,0.999883622,0.999883622
year 12,0.33837619,0.458687587,0.669219015,0.458687587,0.669219015,0.578998983,0.578998983,1.000061841,1.000061841
year 13,0.33837619,0.476834417,0.669219015,0.476834417,0.669219015,0.615292645,0.615292645,1.000061841,1.000061841
year 14,0.33837619,0.497149999,0.669219015,0.497149999,0.669219015,0.655923808,0.655923808,1.000061841,1.000061841
year 15,0.33837619,0.513999243,0.669219015,0.513999243,0.669219015,0.689622296,0.689622296,1.000061841,1.000061841
year 16,0.33837619,0.53158291,0.669219015,0.53158291,0.669219015,0.72478963,0.72478963,1.000061841,1.000061841
year 17,0.33837619,0.552614234,0.669219015,0.552614234,0.669219015,0.766852279,0.766852279,1.000061841,1.000061841
year 18,0.33837619,0.567775917,0.669219015,0.567775917,0.669219015,0.797175644,0.797175644,1.000061841,1.000061841
year 19,0.33837619,0.589721102,0.669219015,0.589721102,0.669219015,0.841066015,0.841066015,1.000061841,1.000061841
year 20,0.33837619,0.605059343,0.669219015,0.605059343,0.669219015,0.871742495,0.871742495,1.000061841,1.000061841
year 21,0.33837619,0.615192901,0.669219015,0.615192901,0.669219015,0.892009613,0.892009613,1.000061841,1.000061841
year 22,0.33837619,0.628131876,0.669219015,0.628131876,0.669219015,0.917887561,0.917887561,1.000061841,1.000061841
year 23,0.33837619,0.638340806,0.669219015,0.638340806,0.669219015,0.938305423,0.938305423,1.000061841,1.000061841
year 24,0.33837619,0.647805421,0.669219015,0.647805421,0.669219015,0.957234652,0.957234652,1.000061841,1.000061841
year 25,0.33837619,0.655162209,0.669219015,0.655162209,0.669219015,0.971948227,0.971948227,1.000061841,1.000061841
year 26,0.33837619,0.66054432,0.669219015,0.66054432,0.669219015,0.982712451,0.982712451,1.000061841,1.000061841
year 27,0.33837619,0.664131014,0.669219015,0.664131014,0.669219015,0.989885838,0.989885838,1.000061841,1.000061841
year 28,0.33837619,0.665551723,0.669219015,0.665551723,0.669219015,0.992727256,0.992727256,1.000061841,1.000061841
year 29,0.33837619,0.666589492,0.669219015,0.666589492,0.669219015,0.994802794,0.994802794,1.000061841,1.000061841
year 30,0.33837619,0.668061154,0.669219015,0.668061154,0.669219015,0.997746119,0.997746119,1.000061841,1.000061841
year 31,0.33837619,0.669129906,0.669219015,0.669129906,0.669219015,0.999883622,0.999883622,1.000061841,1.000061841
year 32,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 33,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 34,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 35,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 36,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 37,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 38,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
year 39,0.33837619,0.669219015,0.669219015,0.669219015,0.669219015,1.000061841,1.000061841,1.000061841,1.000061841
