Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br,,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el
S1,3262527.018,0,1048641.36,4311168.378,1766952.982,0,1048641.36,2815594.342,,5029480,0,2097282.72,7126762.72
S2,3262527.018,0,1048641.36,4311168.378,33658118.31,1422186.244,1881130.31,36961434.86,,36920645.33,1422186.244,2929771.67,41272603.24
S3,3262527.018,0,1048641.36,4311168.378,47920136.28,2968567.363,2822655.341,53711358.99,,51182663.3,2968567.363,3871296.702,58022527.36
S4,34684541.82,1422186.244,1881130.31,37987858.38,1766952.982,0,1048641.36,2815594.342,,36451494.81,1422186.244,2929771.67,40803452.72
S5,49032547.11,2968567.363,2822655.341,54823769.82,1766952.982,0,1048641.36,2815594.342,,50799500.09,2968567.363,3871296.702,57639364.16
S6,35398494.85,1422186.244,1881130.31,38701811.4,6073569.593,1422186.244,1881130.31,9376886.147,,41472064.44,2844372.488,3762260.62,48078697.55
S7,34684541.82,1422186.244,1881130.31,37987858.38,33658118.31,1422186.244,1881130.31,36961434.86,,68342660.13,2844372.488,3762260.62,74949293.24
S8,35398494.85,1422186.244,1881130.31,38701811.4,2602965.742,1422186.244,1881130.31,5906282.296,,38001460.59,2844372.488,3762260.62,44608093.7
S9,34684541.82,1422186.244,1881130.31,37987858.38,10520759.3,1422186.244,1881130.31,13824075.86,,45205301.13,2844372.488,3762260.62,51811934.24
S10,50058060.07,2968567.363,2822655.341,55849282.78,8298044.599,2968567.363,2822655.341,14089267.3,,58356104.67,5937134.726,5645310.683,69938550.08
S11,49032547.11,2968567.363,2822655.341,54823769.82,47920136.28,2968567.363,2822655.341,53711358.99,,96952683.39,5937134.726,5645310.683,108535128.8
S12,50058060.07,2968567.363,2822655.341,55849282.78,3306052.279,2968567.363,2822655.341,9097274.983,,53364112.35,5937134.726,5645310.683,64946557.76
S13,49032547.11,2968567.363,2822655.341,54823769.82,14640187.48,2968567.363,2822655.341,20431410.19,,63672734.59,5937134.726,5645310.683,75255180
