Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br
S1,2875928.039618005,0.0,933036.4750276804,3808964.514645685,1558043.554835161,0.0,933036.4750276804,2491080.02986284
S2,2875928.039618005,0.0,933036.4750276804,3808964.514645685,22955066.358038746,1085571.659854978,1540078.2532108277,25580716.271104563
S3,2875928.039618005,0.0,933036.4750276804,3808964.514645685,32804081.760439612,2631796.7575921617,2480988.17393379,37916866.69196557
S4,23773824.78157012,1085571.659854978,1540078.2532108277,26399474.694635924,1558043.554835161,0.0,933036.4750276804,2491080.02986284
S5,33708769.933392584,2631796.7575921617,2480988.17393379,38821554.864918545,1558043.554835161,0.0,933036.4750276804,2491080.02986284
S6,24257673.843442176,1085571.659854978,1540078.2532108277,26883323.75650799,4260898.058436595,1085571.659854978,1540078.2532108277,6886547.971502401
S7,23773824.78157012,1085571.659854978,1540078.2532108277,26399474.694635924,22955066.358038746,1085571.659854978,1540078.2532108277,25580716.271104563
S8,24257673.843442176,1085571.659854978,1540078.2532108277,26883323.75650799,2352316.429951294,1085571.659854978,1540078.2532108277,4977966.343017099
S9,23773824.78157012,1085571.659854978,1540078.2532108277,26399474.694635924,10231188.834803404,1085571.659854978,1540078.2532108277,12856838.747869207
S10,34407094.35851728,2631796.7575921617,2480988.17393379,39519879.290043235,5823365.335167278,2631796.7575921617,2480988.17393379,10936150.26669323
S11,33708769.933392584,2631796.7575921617,2480988.17393379,38821554.864918545,32804081.760439612,2631796.7575921617,2480988.17393379,37916866.69196557
S12,34407094.35851728,2631796.7575921617,2480988.17393379,39519879.290043235,3062203.943087044,2631796.7575921617,2480988.17393379,8174988.8746129945
S13,33708769.933392584,2631796.7575921617,2480988.17393379,38821554.864918545,14396339.146571388,2631796.7575921617,2480988.17393379,19509124.078097343
