year,capex,opex,lifecycle infrastructure,environmental,non fatal,fatal,safety,total cost
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,140733.3827,0,140733.3827,12136.54755,90.8546967,34.27144624,125.1261429,152995.0564
14,0,0,0,12136.54755,90.8546967,34.27144624,125.1261429,12261.6737
15,179206.7979,0,179206.7979,27590.9606,238.1748255,89.84230891,328.0171344,207125.7757
16,0,0,0,27590.9606,238.1748255,89.84230891,328.0171344,27918.97773
17,0,0,0,27590.9606,238.1748255,89.84230891,328.0171344,27918.97773
18,0,0,0,27590.9606,238.1748255,89.84230891,328.0171344,27918.97773
19,0,0,0,27590.9606,238.1748255,89.84230891,328.0171344,27918.97773
20,0,0,0,27590.9606,238.1748255,89.84230891,328.0171344,27918.97773
21,109587.8931,0,109587.8931,37041.58738,293.2655247,110.6231602,403.8886849,147033.3692
22,0,0,0,37041.58738,293.2655247,110.6231602,403.8886849,37445.47607
23,104098.719,0,104098.719,46018.83947,342.9755404,129.3743551,472.3498956,150589.9084
24,161907.9952,0,161907.9952,59981.44057,463.2268239,174.7345351,637.961359,222527.3971
25,135087.0699,0,135087.0699,71631.06212,506.501555,191.058266,697.559821,207415.6918
26,476267.0466,0,476267.0466,112703.3191,1164.906593,439.4162892,1604.322882,590574.6886
27,654374.2513,0,654374.2513,169135.1625,2005.877953,756.6404481,2762.518401,826271.9322
28,510969.7804,0,510969.7804,213200.1095,2351.21485,886.9055343,3238.120384,727408.0102
29,385910.3541,0,385910.3541,246480.1975,2608.642075,984.0100719,3592.652147,635983.2037
30,756692.755,0,756692.755,311735.7711,3093.820585,1167.025038,4260.845623,1072689.372
31,558251.7834,0,558251.7834,359878.2173,3397.705324,1281.653889,4679.359214,922809.36
32,279067.9288,0,279067.9288,383944.4419,3576.901107,1349.248618,4926.149725,667938.5204
33,715834.7969,0,715834.7969,445676.512,4225.417974,1593.876709,5819.294683,1167330.604
34,1326672.734,0,1326672.734,560085.9465,5304.655618,2000.977676,7305.633295,1894064.314
35,2031983.646,0,2031983.646,735319.8937,6765.469351,2552.013573,9317.482924,2776621.022
36,1519737.978,0,1519737.978,866378.8641,7930.58862,2991.510086,10922.09871,2397038.94
37,1245515.416,0,1245515.416,973789.4641,8607.780854,3246.954858,11854.73571,2231159.616
38,2228448.151,0,2228448.151,1165966.092,10263.4452,3871.490667,14134.93586,3408549.179
39,2767987.188,0,2767987.188,1404671.419,13036.34925,4917.462265,17953.81152,4190612.419
