year,capex,opex,lifecycle infrastructure,environmental,non fatal,fatal,safety,total cost
0,0,302814.7927,302814.7927,0,0,0,0,302814.7927
1,135223.3695,317955.5323,453178.9018,0,93151.5132,35137.83209,128289.3453,581468.2471
2,0,333853.3089,333853.3089,0,93151.5132,35137.83209,128289.3453,462142.6542
3,46045.95383,350545.9744,396591.9282,0,93151.5132,35137.83209,128289.3453,524881.2735
4,0,368073.2731,368073.2731,0,93151.5132,35137.83209,128289.3453,496362.6184
5,429111.9288,386476.9367,815588.8656,0,93151.5132,35137.83209,128289.3453,943878.2109
6,504606.3962,405800.7836,910407.1798,0,93151.5132,35137.83209,128289.3453,1038696.525
7,0,426090.8228,426090.8228,0,93151.5132,35137.83209,128289.3453,554380.1681
8,331844.6378,447395.3639,779240.0017,0,93151.5132,35137.83209,128289.3453,907529.347
9,268119.9454,469765.1321,737885.0775,0,93151.5132,35137.83209,128289.3453,866174.4227
10,1459028.548,493253.3887,1952281.936,0,93151.5132,35137.83209,128289.3453,2080571.282
11,794730.1116,517916.0581,1312646.17,0,93151.5132,35137.83209,128289.3453,1440935.515
12,1089200.637,543811.861,1633012.498,0,93151.5132,35137.83209,128289.3453,1761301.844
13,870182.3314,571002.4541,1441184.785,0,93151.5132,35137.83209,128289.3453,1569474.131
14,1033615.104,599552.5768,1633167.68,0,93151.5132,35137.83209,128289.3453,1761457.026
15,747926.6465,629530.2056,1377456.852,0,93151.5132,35137.83209,128289.3453,1505746.197
16,965256.6556,661006.7159,1626263.372,0,93151.5132,35137.83209,128289.3453,1754552.717
17,1708284.047,694057.0517,2402341.098,0,93151.5132,35137.83209,128289.3453,2530630.444
18,1407481.263,728759.9043,2136241.167,0,93151.5132,35137.83209,128289.3453,2264530.512
19,2230871.084,765197.8995,2996068.983,0,93151.5132,35137.83209,128289.3453,3124358.328
20,2010884.512,803457.7945,2814342.306,0,93151.5132,35137.83209,128289.3453,2942631.651
21,2233925.591,843630.6842,3077556.276,0,93151.5132,35137.83209,128289.3453,3205845.621
22,1638701.408,885812.2184,2524513.627,0,93151.5132,35137.83209,128289.3453,2652802.972
23,1546108.693,930102.8294,2476211.523,0,93151.5132,35137.83209,128289.3453,2604500.868
24,2887652.356,976607.9708,3864260.327,0,93151.5132,35137.83209,128289.3453,3992549.673
25,2555297.292,1025438.369,3580735.662,0,93151.5132,35137.83209,128289.3453,3709025.007
26,1789992.059,1076710.288,2866702.347,0,93151.5132,35137.83209,128289.3453,2994991.693
27,3382923.005,1130545.802,4513468.807,0,93151.5132,35137.83209,128289.3453,4641758.152
28,2588727.718,1187073.092,3775800.81,0,93151.5132,35137.83209,128289.3453,3904090.156
29,2087916.371,1246426.747,3334343.117,0,93151.5132,35137.83209,128289.3453,3462632.463
30,1880535.773,1308748.084,3189283.858,0,93151.5132,35137.83209,128289.3453,3317573.203
31,1000659.178,1374185.489,2374844.667,0,93151.5132,35137.83209,128289.3453,2503134.012
32,310740.7348,1442894.763,1753635.498,0,93151.5132,35137.83209,128289.3453,1881924.843
33,878355.8882,1515039.501,2393395.389,0,93151.5132,35137.83209,128289.3453,2521684.735
34,545351.6376,1590791.476,2136143.114,0,93151.5132,35137.83209,128289.3453,2264432.459
35,948405.9935,1670331.05,2618737.043,0,93151.5132,35137.83209,128289.3453,2747026.389
36,724316.6147,1753847.602,2478164.217,0,93151.5132,35137.83209,128289.3453,2606453.562
37,511990.5266,1841539.983,2353530.509,0,93151.5132,35137.83209,128289.3453,2481819.854
38,916041.9277,1933616.982,2849658.909,0,93151.5132,35137.83209,128289.3453,2977948.255
39,1137828.725,2030297.831,3168126.556,0,93151.5132,35137.83209,128289.3453,3296415.902
