year,capex,opex,lifecycle infrastructure,environmental,non fatal,fatal,safety,total cost
0,0,302814.7927,302814.7927,0,0,0,0,302814.7927
1,135223.3695,317955.5323,453178.9018,0,93151.5132,35137.83209,128289.3453,581468.2471
2,0,333853.3089,333853.3089,0,93151.5132,35137.83209,128289.3453,462142.6542
3,46045.95383,350545.9744,396591.9282,0,93151.5132,35137.83209,128289.3453,524881.2735
4,0,368073.2731,368073.2731,0,93151.5132,35137.83209,128289.3453,496362.6184
5,429111.9288,386476.9367,815588.8656,0,93151.5132,35137.83209,128289.3453,943878.2109
6,504606.3962,405800.7836,910407.1798,0,93151.5132,35137.83209,128289.3453,1038696.525
7,0,426090.8228,426090.8228,0,93151.5132,35137.83209,128289.3453,554380.1681
8,331844.6378,447395.3639,779240.0017,0,93151.5132,35137.83209,128289.3453,907529.347
9,268119.9454,469765.1321,737885.0775,0,93151.5132,35137.83209,128289.3453,866174.4227
10,1459028.548,493253.3887,1952281.936,0,93151.5132,35137.83209,128289.3453,2080571.282
11,794730.1116,517916.0581,1312646.17,0,93151.5132,35137.83209,128289.3453,1440935.515
12,1089200.637,543811.861,1633012.498,0,93151.5132,35137.83209,128289.3453,1761301.844
13,1010915.714,571002.4541,1581918.168,12136.54755,93242.3679,35172.10353,128414.4714,1722469.187
14,1033615.104,599552.5768,1633167.68,12136.54755,93242.3679,35172.10353,128414.4714,1773718.699
15,927133.4445,629530.2056,1556663.65,27590.9606,93389.68803,35227.6744,128617.3624,1712871.973
16,965256.6556,661006.7159,1626263.372,27590.9606,93389.68803,35227.6744,128617.3624,1782471.695
17,1708284.047,694057.0517,2402341.098,27590.9606,93389.68803,35227.6744,128617.3624,2558549.421
18,1407481.263,728759.9043,2136241.167,27590.9606,93389.68803,35227.6744,128617.3624,2292449.49
19,2230871.084,765197.8995,2996068.983,27590.9606,93389.68803,35227.6744,128617.3624,3152277.306
20,2010884.512,803457.7945,2814342.306,27590.9606,93389.68803,35227.6744,128617.3624,2970550.629
21,2343513.485,843630.6842,3187144.169,37041.58738,93444.77873,35248.45525,128693.234,3352878.99
22,1638701.408,885812.2184,2524513.627,37041.58738,93444.77873,35248.45525,128693.234,2690248.448
23,1650207.412,930102.8294,2580310.242,46018.83947,93494.48874,35267.20644,128761.6952,2755090.776
24,3049560.352,976607.9708,4026168.322,59981.44057,93614.74003,35312.56662,128927.3066,4215077.07
25,2690384.362,1025438.369,3715822.732,71631.06212,93658.01476,35328.89035,128986.9051,3916440.699
26,2266259.106,1076710.288,3342969.394,112703.3191,94316.41979,35577.24838,129893.6682,3585566.381
27,4037297.256,1130545.802,5167843.058,169135.1625,95157.39115,35894.47254,131051.8637,5468030.084
28,3099697.498,1187073.092,4286770.591,213200.1095,95502.72805,36024.73762,131527.4657,4631498.166
29,2473826.725,1246426.747,3720253.472,246480.1975,95760.15528,36121.84216,131881.9974,4098615.666
30,2637228.528,1308748.084,3945976.613,311735.7711,96245.33379,36304.85713,132550.1909,4390262.575
31,1558910.962,1374185.489,2933096.45,359878.2173,96549.21853,36419.48598,132968.7045,3425943.372
32,589808.6636,1442894.763,2032703.427,383944.4419,96728.41431,36487.08071,133215.495,2549863.363
33,1594190.685,1515039.501,3109230.186,445676.512,97376.93118,36731.7088,134108.64,3689015.338
34,1872024.371,1590791.476,3462815.848,560085.9465,98456.16882,37138.80976,135594.9786,4158496.773
35,2980389.639,1670331.05,4650720.689,735319.8937,99916.98255,37689.84566,137606.8282,5523647.411
36,2244054.592,1753847.602,3997902.195,866378.8641,101082.1018,38129.34217,139211.444,5003492.503
37,1757505.942,1841539.983,3599045.925,973789.4641,101759.2941,38384.78695,140144.081,4712979.47
38,3144490.079,1933616.982,5078107.06,1165966.092,103414.9584,39009.32275,142424.2812,6386497.434
39,3905815.913,2030297.831,5936113.744,1404671.419,106187.8625,40055.29435,146243.1568,7487028.32
