year,aesthetic losses,economic losses,total losses
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,9054.47409297619,666246.6032029986,675301.077295959
8,18471.127149672247,1544922.999808371,1563394.1269580722
9,18840.549692665692,1575821.4598045945,1594662.0094972253
10,19217.360686518718,1607337.8890007138,1626555.2496871948
11,29402.561850373633,2201051.0866847634,2230453.6485351324
12,39987.48411650816,2789178.8733088374,2829166.357425332
13,61180.85069825733,3565161.7486106753,3626342.599308908
14,104007.44618703751,7194951.181993008,7298958.628180027
15,137913.8736440111,9479401.731586516,9617315.60523051
16,227239.62872728705,12827407.331964314,13054646.960691571
17,286971.18827845994,17214928.937339306,17501900.125617802
18,472840.2194557381,29520020.64249885,29992860.86195463
19,643062.6984598045,37588482.85039729,38231545.54885709
20,913608.3623118219,55291598.55778468,56205206.92009646
21,1230560.1864676932,78599431.52388322,79829991.71035093
22,1547638.5102429604,99593805.3974626,101141443.9077056
23,1914197.3007005057,120720429.02390051,122634626.324601
24,2218728.6894483143,143858101.1566989,146076829.8461472
25,2457083.5429433323,160640617.67644957,163097701.21939293
26,2651322.4630223266,172709313.6525147,175360636.11553702
27,2744712.328884009,178844741.29477853,181589453.62366256
28,2799606.5754616894,182421636.12067413,185221242.69613582
29,2855598.7069709226,186070068.8430876,188925667.5500585
30,2912710.6811103416,189791470.21994936,192704180.90105972
31,2970964.8947325484,193587299.62434837,196558264.51908088
32,3030384.192627199,197459045.6168353,200489429.80946255
33,3090991.8764797435,201408226.52917206,204499218.4056518
34,3152811.714009338,205436391.0597555,208589202.7737648
35,3215867.948289525,209545118.8809506,212760986.82924014
36,3280185.307255316,213736021.25856957,217016206.56582493
37,3345789.013400422,218010741.68374097,221356530.6971414
38,3412704.7936684303,222370956.51741576,225783661.31108427
39,3480958.889541799,226818375.64776415,230299334.53730595
