year,aesthetic losses,economic losses,total losses
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,-10196.808449709322,-750301.8864895105,-760498.6949391365
14,-10400.744618703611,-765307.9242192507,-775708.6688379645
15,-21217.519022155553,-1774630.9075016975,-1795848.4265238047
16,-21641.86940259859,-1810123.5256516933,-1831765.3950542808
17,-22074.706790651195,-1846325.9961646795,-1868400.7029553652
18,-22516.20092646312,-1883252.5160880089,-1905768.7170144916
19,-22966.524944992736,-1920917.5664098263,-1943884.0913547873
20,-23425.85544389207,-1959335.9177380204,-1982761.7731819153
21,-35841.55882915668,-2683068.99279207,-2718910.5516212583
22,-36558.390005739406,-2736730.3726478815,-2773288.762653649
23,-49719.410407804884,-3467993.352589309,-3517712.762997091
24,-63392.2482699519,-4610623.482461572,-4674015.730731487
25,-90524.13052949123,-5616222.802040577,-5706746.93257004
26,-118715.93118010461,-9013216.759757817,-9131932.690937936
27,-174908.13860535342,-13796762.435594618,-13971670.574199975
28,-233300.54795514047,-17739071.176493645,-17972371.7244488
29,-279960.6575461691,-20918264.87976122,-21198225.53730738
30,-385505.82544107456,-26985497.932654202,-27371003.758095264
31,-509724.36919431016,-31776022.09225166,-32285746.461445987
32,-549628.505525521,-34579007.5901382,-35128636.095663786
33,-636380.6804517126,-40941529.0542022,-41577909.73465389
34,-788202.9285023343,-52480644.41516954,-53268847.34367186
35,-1056191.924193128,-70278255.24546814,-71334447.16966128
36,-1286347.17931581,-84460310.92300475,-85746658.10232061
37,-1541687.0944099985,-96830030.83938628,-98371717.93379623
38,-1873641.8475042358,-118258152.89001721,-120131794.73752147
39,-2286512.211757849,-145318226.26339525,-147604738.4751531
