year,aesthetic losses,economic losses,total losses,marginal avoided loss
0,0.0,0.0,0.0,-0.0
1,69260799.5395995,194852369.294036,264113168.83363548,-194852369.294036
2,69260799.5395995,194852369.294036,264113168.83363548,-0.0
3,69260799.5395995,194852369.294036,264113168.83363548,-0.0
4,69260799.5395995,194852369.294036,264113168.83363548,-0.0
5,69260799.5395995,194852369.294036,264113168.83363548,-0.0
6,69260799.5395995,194852369.294036,264113168.83363548,-0.0
7,69260799.5395995,194852369.294036,264113168.83363548,-0.0
8,69260799.5395995,194852369.294036,264113168.83363548,-0.0
9,69260799.5395995,194852369.294036,264113168.83363548,-0.0
10,69260799.5395995,194852369.294036,264113168.83363548,-0.0
11,69260799.5395995,194852369.294036,264113168.83363548,-0.0
12,69260799.5395995,194852369.294036,264113168.83363548,-0.0
13,69260799.5395995,194852369.294036,264113168.83363548,-0.0
14,69260799.5395995,194852369.294036,264113168.83363548,-0.0
15,69260799.5395995,194852369.294036,264113168.83363548,-0.0
16,69260799.5395995,194852369.294036,264113168.83363548,-0.0
17,69260799.5395995,194852369.294036,264113168.83363548,-0.0
18,69260799.5395995,194852369.294036,264113168.83363548,-0.0
19,69260799.5395995,194852369.294036,264113168.83363548,-0.0
20,69260799.5395995,194852369.294036,264113168.83363548,-0.0
21,69260799.5395995,194852369.294036,264113168.83363548,-0.0
22,69260799.5395995,194852369.294036,264113168.83363548,-0.0
23,69260799.5395995,194852369.294036,264113168.83363548,-0.0
24,69260799.5395995,194852369.294036,264113168.83363548,-0.0
25,69260799.5395995,194852369.294036,264113168.83363548,-0.0
26,69260799.5395995,194852369.294036,264113168.83363548,-0.0
27,69260799.5395995,194852369.294036,264113168.83363548,-0.0
28,69260799.5395995,194852369.294036,264113168.83363548,-0.0
29,69260799.5395995,194852369.294036,264113168.83363548,-0.0
30,69260799.5395995,194852369.294036,264113168.83363548,-0.0
31,69260799.5395995,194852369.294036,264113168.83363548,-0.0
32,69260799.5395995,194852369.294036,264113168.83363548,-0.0
33,69260799.5395995,194852369.294036,264113168.83363548,-0.0
34,69260799.5395995,194852369.294036,264113168.83363548,-0.0
35,69260799.5395995,194852369.294036,264113168.83363548,-0.0
36,69260799.5395995,194852369.294036,264113168.83363548,-0.0
37,69260799.5395995,194852369.294036,264113168.83363548,-0.0
38,69260799.5395995,194852369.294036,264113168.83363548,-0.0
39,69260799.5395995,194852369.294036,264113168.83363548,-0.0
