u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,from,to,access,bridge,geometry
69008159,71718041,0,455364322,0,2,US 20,Hartford Turnpike,primary,50 mph,18.3,183.97399999999996,71718041,69008159,,,"LINESTRING (-71.673131 42.279137, -71.672951 42.279248, -71.672761 42.279373, -71.672573 42.279501, -71.672389 42.279631, -71.672225 42.279748, -71.672063 42.279867, -71.671909 42.279991, -71.671793 42.280094, -71.6715613 42.2803101)"
71375134,71532963,0,9414802,0,,,Harrington Farms Way,residential,,,60.788,71532963,71375134,,,"LINESTRING (-71.712397 42.279928, -71.711759 42.2800398, -71.711678 42.280054)"
71375134,71587232,0,9415013,0,2,MA 140,Grafton Street,primary,35 mph,12.2,67.963,71587232,71375134,,,"LINESTRING (-71.7118645 42.2806482, -71.711842 42.280532, -71.711798 42.280363, -71.711739 42.28019, -71.711678 42.280054)"
71375134,71528522,0,9415013,0,2,MA 140,Grafton Street,primary,35 mph,12.2,77.214,71528522,71375134,,,"LINESTRING (-71.7112822 42.2794255, -71.7114686 42.2796776, -71.7116482 42.2800004, -71.711678 42.280054)"
71375244,71663146,0,9414427,1,2,MA 9,Boston Turnpike,trunk,45 mph,30.2,106.26299999999999,71375244,71663146,,,"LINESTRING (-71.738345 42.275668, -71.738702 42.275632, -71.738881 42.275616, -71.739138 42.275597, -71.739395 42.275582, -71.7396291 42.2755678)"
71375244,71624379,0,366571739,1,2,MA 9,Boston Turnpike,trunk,45 mph,30.2,75.747,71624379,71375244,,,"LINESTRING (-71.7374314 42.2757521, -71.737759 42.275723, -71.738052 42.275696, -71.738345 42.275668)"
71375244,71697139,0,9416331,1,,,Maple Avenue,secondary,30 mph,15.2,61.65,71697139,71375244,,,"LINESTRING (-71.73766 42.275892, -71.737704 42.275875, -71.737783 42.275847, -71.737861 42.275819, -71.737941 42.275793, -71.738132 42.2757301, -71.738345 42.275668)"
71375877,71603370,0,9414420,0,1,,First Avenue,residential,,8.5,188.07099999999997,71603370,71375877,,,"LINESTRING (-71.754371 42.276015, -71.7537845 42.2759053, -71.7534319 42.2758484, -71.753472 42.2756706, -71.7527135 42.2755987, -71.7524988 42.2755792, -71.7524041 42.2755706)"
71375877,71652102,0,9415532,0,2,,North Quinsigamond Avenue,secondary,,15.2,133.28,71652102,71375877,,,"LINESTRING (-71.752714 42.276747, -71.752696 42.276686, -71.75268 42.276628, -71.752663 42.276571, -71.7526517 42.2765308, -71.752647 42.276514, -71.75262 42.276415, -71.752593 42.276316, -71.752567 42.276217, -71.7525502 42.276153, -71.752536 42.276099, -71.752528 42.276067, -71.752506 42.27598, -71.7524998 42.2759546, -71.752477 42.275861, -71.7524666 42.2758203, -71.7524645 42.2758121, -71.752451 42.275759, -71.752425 42.275656, -71.7524041 42.2755706)"
71375877,71473199,0,9415532,0,2,,North Quinsigamond Avenue,secondary,,15.2,117.423,71473199,71375877,,,"LINESTRING (-71.752126 42.274535, -71.752152 42.274614, -71.7521667 42.2746644, -71.752175 42.274693, -71.752198 42.274772, -71.752228 42.274886, -71.752256 42.275001, -71.7522834 42.2751089, -71.752285 42.275115, -71.7522984 42.2751578, -71.752323 42.275261, -71.752361 42.275407, -71.7524041 42.2755706)"
71376105,71480614,0,9416430,0,2,,North Street,tertiary,,11.6,62.749,71480614,71376105,yes,,"LINESTRING (-71.7031474 42.3097009, -71.7038424 42.3094679)"
71376105,71650634,0,9416430,0,2,,North Street,tertiary,,11.6,88.34,71650634,71376105,yes,,"LINESTRING (-71.7048177 42.3091348, -71.7038424 42.3094679)"
71376105,71492925,0,9416606,0,1,,Clear View Road,residential,,7.3,187.894,71492925,71376105,,,"LINESTRING (-71.7031749 42.307852, -71.703637 42.308975, -71.7036944 42.3091176, -71.703808 42.3093997, -71.7038424 42.3094679)"
71376154,71400607,0,9414193,0,2,,Spruce Street,residential,,9.8,74.846,71400607,71376154,,,"LINESTRING (-71.720372 42.2832, -71.7212749 42.2832828)"
