year,capex,opex,lifecycle infrastructure,environmental restoration,non fatal,fatal,safety,total cost
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,113249.47181711975,0.0,113249.47181711998,9766.393545134297,587.2515447963815,221.5180995475166,808.7696443439054,123824.63500659773
20,0.0,0.0,0.0,9766.393545134297,587.2515447963815,221.5180995475166,808.7696443439054,10575.163189478219
21,0.0,0.0,0.0,9766.393545134297,587.2515447963815,221.5180995475166,808.7696443439054,10575.163189478219
22,0.0,0.0,0.0,9766.393545134297,587.2515447963815,221.5180995475166,808.7696443439054,10575.163189477753
23,0.0,0.0,0.0,9766.393545134297,587.2515447963815,221.5180995475166,808.7696443439054,10575.163189478219
24,261465.12557005254,0.0,261465.12557005277,32314.589785455046,880.877317194565,332.2771493212713,1213.1544665158435,294992.86982202344
25,300909.96626399644,0.0,300909.9662639955,58264.42518012235,1468.1288619909465,553.7952488687806,2021.9241108597344,361196.3155549783
26,216288.5767898846,0.0,216288.57678988436,76916.69195323493,2055.380406787328,775.31334841629,2830.693755203625,296035.96249832306
27,79168.49774274603,0.0,79168.49774274603,83744.01479127265,2349.0061791855114,886.0723981900519,3235.078577375578,166147.5911113941
28,403158.5352049009,0.0,403158.5352049009,118511.54926815955,3229.883496380091,1218.349547511316,4448.233043891407,526118.3175169518
29,854009.043384531,0.0,854009.0433845306,192159.47252086792,4991.638130769221,1882.9038461538512,6874.541976923094,1053043.0578823215
30,1373960.2458828485,0.0,1373960.2458828487,310646.8814363849,8221.521627149312,3101.25339366516,11322.7750208145,1695929.9023400485
31,653920.9363821389,0.0,653920.9363821389,367039.63196880074,9689.650489140273,3655.0486425339404,13344.69913167422,1034305.2674826141
32,1136339.44633756,0.0,1136339.4463375597,465035.12859870173,12038.656668325784,4541.121040723985,16579.777709049784,1617954.352645311
33,414269.71504253487,0.0,414269.715042535,500760.8675890748,13506.785530316745,5094.916289592766,18601.701819909504,933632.2844515191
34,1188567.2912795704,0.0,1188567.2912795707,603260.382467658,16443.04325429864,6202.50678733032,22645.550041628972,1814473.223788858
35,1297079.4387863195,0.0,1297079.4387863195,715117.7541200895,20260.17829547511,7642.374434389145,27902.552729864256,2040099.7456362727
36,1593934.5338704963,0.0,1593934.5338704959,852575.277702166,24664.564881447965,9303.76018099548,33968.325062443444,2480478.136635105
37,1886939.988894464,0.0,1886939.988894464,1015300.968444053,29362.577239819002,11075.904977375569,40438.48221719457,2942679.4395557116
38,1852128.8539078124,0.0,1852128.8539078124,1175024.6209549673,34941.46691538462,13180.32692307693,48121.79383846154,3075275.2687012414
39,3260980.481142811,0.0,3260980.481142811,1456244.6408882318,41401.2339081448,15617.026018099554,57018.259926244355,4774243.381957287
