year,capex,opex,lifecycle infrastructure,environmental restoration,non fatal,fatal,safety,total cost
0,0.0,313230.90996951686,313230.90996951686,0,0.0,0.0,0.0,313230.90996951686
1,0.0,328892.4554679927,328892.4554679927,0,91571.03001193969,34541.65548238169,126112.68549432137,455005.1409623141
2,0.0,345337.07824139233,345337.07824139233,0,91571.03001193969,34541.65548238169,126112.68549432137,471449.7637357137
3,144647.98948098405,362603.93215346197,507251.921634446,0,91571.03001193969,34541.65548238169,126112.68549432137,633364.6071287674
4,190981.12342048058,380734.12876113504,571715.2521816157,0,91571.03001193969,34541.65548238169,126112.68549432137,697827.937675937
5,225701.4142549878,399770.8351991918,625472.2494541795,0,91571.03001193969,34541.65548238169,126112.68549432137,751584.934948501
6,705418.9352002256,419759.3769591514,1125178.312159377,0,91571.03001193969,34541.65548238169,126112.68549432137,1251290.9976536983
7,150869.14090181116,440747.34580710897,591616.4867089201,0,91571.03001193969,34541.65548238169,126112.68549432137,717729.1722032415
8,129365.77911868539,462784.7130974644,592150.4922161498,0,91571.03001193969,34541.65548238169,126112.68549432137,718263.1777104712
9,191672.82477547537,485923.94875233766,677596.773527813,0,91571.03001193969,34541.65548238169,126112.68549432137,803709.4590221344
10,680428.871002008,510220.14618995454,1190649.0171919626,0,91571.03001193969,34541.65548238169,126112.68549432137,1316761.702686284
11,2105510.7043903833,535731.1534994523,2641241.8578898357,0,91571.03001193969,34541.65548238169,126112.68549432137,2767354.543384157
12,80376.69700459029,562517.7111744249,642894.4081790152,0,91571.03001193969,34541.65548238169,126112.68549432137,769007.0936733366
13,474120.0729684627,590643.5967331461,1064763.6697016088,0,91571.03001193969,34541.65548238169,126112.68549432137,1190876.3551959302
14,2148051.968506415,620175.7765698035,2768227.7450762186,0,91571.03001193969,34541.65548238169,126112.68549432137,2894340.43057054
15,607845.1628414836,651184.5653982937,1259029.7282397773,0,91571.03001193969,34541.65548238169,126112.68549432137,1385142.4137340987
16,893130.9439708913,683743.7936682083,1576874.7376390996,0,91571.03001193969,34541.65548238169,126112.68549432137,1702987.423133421
17,1603372.037553317,717930.9833516188,2321303.0209049354,0,91571.03001193969,34541.65548238169,126112.68549432137,2447415.706399257
18,2341088.7661160715,753827.5325191997,3094916.298635271,0,91571.03001193969,34541.65548238169,126112.68549432137,3221028.9841295923
19,1915389.1533794338,791518.9091451596,2706908.0625245934,0,91571.03001193969,34541.65548238169,126112.68549432137,2833020.748018915
20,3364921.035292445,831094.8546024177,4196015.889894863,0,91571.03001193969,34541.65548238169,126112.68549432137,4322128.575389184
21,4671005.9156313315,872649.5973325385,5543655.51296387,0,91571.03001193969,34541.65548238169,126112.68549432137,5669768.198458191
22,2268583.224532647,916282.0771991655,3184865.3017318123,0,91571.03001193969,34541.65548238169,126112.68549432137,3310977.987226134
23,2297127.2379825576,962096.1810591237,3259223.419041681,0,91571.03001193969,34541.65548238169,126112.68549432137,3385336.1045360025
24,1945461.7215439284,1010200.9901120799,2955662.7116560084,0,91571.03001193969,34541.65548238169,126112.68549432137,3081775.39715033
25,3488616.0738781416,1060711.039617684,4549327.113495826,0,91571.03001193969,34541.65548238169,126112.68549432137,4675439.798990147
26,1792983.0960206497,1113746.591598568,2906729.6876192177,0,91571.03001193969,34541.65548238169,126112.68549432137,3032842.373113539
27,2547784.953220384,1169433.9211784964,3717218.8743988806,0,91571.03001193969,34541.65548238169,126112.68549432137,3843331.559893202
28,1202533.033471616,1227905.6172374212,2430438.650709037,0,91571.03001193969,34541.65548238169,126112.68549432137,2556551.3362033586
29,1761281.3553725835,1289300.8980992923,3050582.253471876,0,91571.03001193969,34541.65548238169,126112.68549432137,3176694.9389661974
30,1833694.114812102,1353765.943004257,3187460.0578163587,0,91571.03001193969,34541.65548238169,126112.68549432137,3313572.74331068
31,607145.0034587851,1421454.2401544699,2028599.243613255,0,91571.03001193969,34541.65548238169,126112.68549432137,2154711.929107576
32,1255152.1533913717,1492526.9521621934,2747679.105553565,0,91571.03001193969,34541.65548238169,126112.68549432137,2873791.7910478865
33,528658.5997509663,1567153.299770303,2095811.8995212691,0,91571.03001193969,34541.65548238169,126112.68549432137,2221924.585015591
34,1354382.9848701295,1645510.964758818,2999893.949628948,0,91571.03001193969,34541.65548238169,126112.68549432137,3126006.635123269
35,533186.8048765898,1727786.512996759,2260973.317873349,0,91571.03001193969,34541.65548238169,126112.68549432137,2387086.0033676703
36,655214.1957412316,1814175.838646597,2469390.034387829,0,91571.03001193969,34541.65548238169,126112.68549432137,2595502.71988215
37,775659.1258696611,1904884.6305789268,2680543.756448588,0,91571.03001193969,34541.65548238169,126112.68549432137,2806656.4419429093
38,761349.4103020257,2000128.8621078732,2761478.272409899,0,91571.03001193969,34541.65548238169,126112.68549432137,2887590.9579042206
39,1340482.0950152264,2100135.305213267,3440617.4002284934,0,91571.03001193969,34541.65548238169,126112.68549432137,3566730.085722815
