year,capex,opex,lifecycle infrastructure,environmental restoration,non fatal,fatal,safety,total cost
0,0.0,302814.79267741763,302814.79267741763,0.0,0.0,0.0,0.0,302814.79267741763
1,135223.36952102,317955.5323112885,453178.90183230856,0.0,93151.51320167496,35137.83208789124,128289.34528956619,581468.2471218748
2,0.0,333853.30892685294,333853.30892685294,0.0,93151.51320167496,35137.83208789124,128289.34528956619,462142.65421641915
3,46045.95383417018,350545.9743731956,396591.9282073658,0.0,93151.51320167496,35137.83208789124,128289.34528956619,524881.273496932
4,0.0,368073.2730918554,368073.2730918554,0.0,93151.51320167496,35137.83208789124,128289.34528956619,496362.6183814216
5,429111.9288328106,386476.93674644816,815588.8655792588,0.0,93151.51320167496,35137.83208789124,128289.34528956619,943878.210868825
6,504606.39618811884,405800.78358377056,910407.1797718895,0.0,93151.51320167496,35137.83208789124,128289.34528956619,1038696.5250614556
7,0.0,426090.8227629591,426090.8227629591,0.0,93151.51320167496,35137.83208789124,128289.34528956619,554380.1680525253
8,331844.63779381244,447395.36390110705,779240.0016949194,0.0,93151.51320167496,35137.83208789124,128289.34528956619,907529.3469844856
9,268119.9453585182,469765.1320961624,737885.0774546806,0.0,93151.51320167496,35137.83208789124,128289.34528956619,866174.4227442468
10,1459028.5477027947,493253.3887009705,1952281.936403765,0.0,93151.51320167496,35137.83208789124,128289.34528956619,2080571.2816933312
11,794730.1116064393,517916.05813601904,1312646.1697424585,0.0,93151.51320167496,35137.83208789124,128289.34528956619,1440935.5150320246
12,1089200.6372355558,543811.86104282,1633012.4982783757,0.0,93151.51320167496,35137.83208789124,128289.34528956619,1761301.843567942
13,1010915.7140640358,571002.454094961,1581918.1681589969,12136.547553599406,93445.13897407314,35248.591137665004,128693.73011173814,1722748.4458243344
14,1033615.1035875613,599552.5767997091,1633167.6803872704,12136.547553599406,93445.13897407314,35248.591137665004,128693.73011173814,1773997.958052608
15,927133.4444718856,629530.2056396945,1556663.65011158,27590.96059910267,93738.76474647134,35359.35018743876,129098.11493391008,1713352.725644593
16,965256.655617394,661006.7159216793,1626263.3715390733,27590.96059910267,93738.76474647134,35359.35018743876,129098.11493391008,1782952.447072086
17,1708284.0466214907,694057.0517177632,2402341.098339254,27590.96059910267,93738.76474647134,35359.35018743876,129098.11493391008,2559030.1738722664
18,1407481.2627444947,728759.9043036514,2136241.167048146,27590.96059910267,93738.76474647134,35359.35018743876,129098.11493391008,2292930.242581159
19,2230871.0836599004,765197.899518834,2996068.9831787343,27590.96059910267,93738.76474647134,35359.35018743876,129098.11493391008,3152758.058711747
20,2010884.5115835504,803457.7944947756,2814342.306078326,27590.96059910267,93738.76474647134,35359.35018743876,129098.11493391008,2971031.381611339
21,2343513.484595649,843630.6842195144,3187144.1688151634,37041.58738453488,94032.39051886952,35470.10923721251,129502.49975608203,3353688.2559557804
22,1638701.408161907,885812.2184304901,2524513.626592397,37041.58738453488,94032.39051886952,35470.10923721251,129502.49975608203,2691057.7137330137
23,1650207.4124508058,930102.8293520147,2580310.2418028205,46018.83947484851,94326.0162912677,35580.86828698627,129906.88457825397,2756235.965855923
24,3049560.351667372,976607.9708196154,4026168.3224869873,59981.44056981996,94619.6420636659,35691.62733676002,130311.26940042592,4216461.032457233
25,2690384.3623471367,1025438.3693605962,3715822.731707733,71631.06212035049,95206.89360846228,35913.14543630753,131120.0390447698,3918573.832872853
26,2266259.1060578343,1076710.2878286259,3342969.3938864605,112703.31910269204,95794.14515325867,36134.66353585505,131928.8086891137,3587601.521678266
27,4037297.2559187687,1130545.8022200572,5167843.058138826,169135.16254647943,96968.64824285143,36577.69973495007,133546.3479778015,5470524.568663107
28,3099697.498447803,1187073.0923310602,4286770.590778863,213200.1094719512,98143.15133244418,37020.73593404509,135163.88726648927,4635134.587517303
29,2473826.724554692,1246426.746947613,3720253.471502305,246480.1974966105,99024.02864963876,37353.01308336636,136377.0417330051,4103110.710731921
30,2637228.528253229,1308748.084294994,3945976.6125482228,311735.77105178474,101079.40905642608,38128.32643178265,139207.73548820874,4396920.119088216
31,1558910.961704376,1374185.4885097435,2933096.4502141196,359878.21734181815,103428.4152356116,39014.39882997269,142442.8140655843,3435417.481621522
32,589808.6636481422,1442894.7629352307,2032703.426583373,383944.441888161,104015.66678040798,39235.9169295202,143251.58370992818,2559899.452181462
33,1594190.6850932182,1515039.5010819922,3109230.1861752104,445676.51204948494,105483.79564239894,39789.71217838898,145273.50782078793,3700180.2060454832
34,1872024.3714129736,1590791.4761360919,3462815.8475490655,560085.9465132266,108126.42759398265,40786.54362635278,148912.97122033543,4171814.7652826277
35,2980389.6390795484,1670331.0499428965,4650720.689022445,735319.893668855,112824.43995235368,42558.68842273288,155383.12837508656,5541423.711066387
36,2244054.59226903,1753847.6024400413,3997902.194709071,866378.864066991,116641.57499353016,43998.556069791695,160640.13106332184,5024921.189839384
37,1757505.9423826346,1841539.9825620432,3599045.924944678,973789.4640598182,120752.33580710481,45549.182766624275,166301.5185737291,4739136.907578225
38,3144490.0787324905,1933616.9816901456,5078107.060422637,1165966.0922482056,126037.59971027223,47542.84566255188,173580.44537282412,6417653.598043666
39,3905815.913298751,2030297.8307746528,5936113.744073404,1404671.4192641722,132497.36670303243,49979.544757574506,182476.91146060693,7523262.074798183
