year,net_benefit,under_proportion,devided
0,-161806.8333,0.33837619,-478186.2261
1,-122147445,0.356212685,-342905938.3
2,-122281755.7,0.358287737,-341294839.5
3,-122297360.3,0.361957561,-337877622.9
4,-122334426,0.36873995,-331763417.6
5,-122360785.7,0.377764229,-323907814.2
6,-122382125.2,0.385862755,-317164908
7,-122384209.7,0.392206068,-312040581.9
8,-122450642.7,0.402850326,-303960639.5
9,-122439578.8,0.415370542,-294771935.9
10,-122465751.4,0.425976383,-287494228.1
11,-122507709.4,0.440412403,-278165893.1
12,-122599390.1,0.458687587,-267282990.8
13,-122578902.2,0.476834417,-257068067.7
14,-122682945.6,0.497149999,-246772494.9
15,-122612073.1,0.513999243,-238545240.6
16,-122668748.2,0.53158291,-230761271.5
17,-122744111.8,0.552614234,-222115364.1
18,-122694077.3,0.567775917,-216095952
19,-122821309.9,0.589721102,-208270162.8
20,-122775906.3,0.605059343,-202915478.8
21,-122741249,0.615192901,-199516686.2
22,-122799628,0.628131876,-195499755.2
23,-122840793.9,0.638340806,-192437633.2
24,-122882780.8,0.647805421,-189690880.7
25,-122949919,0.655162209,-187663325.7
26,-122870520.2,0.66054432,-186014044
27,-122900759.6,0.664131014,-185054992.2
28,-122900025.4,0.665551723,-184658864.4
29,-122961422.4,0.666589492,-184463487.5
30,-122987616.4,0.668061154,-184096344.6
31,-122981667.3,0.669129906,-183793410.2
32,-122953867.1,0.669219015,-183727396.2
33,-123066588.4,0.669219015,-183895833.3
34,-123052788.7,0.669219015,-183875212.7
35,-123068521.3,0.669219015,-183898721.6
36,-123094161.9,0.669219015,-183937035.8
37,-123112999.3,0.669219015,-183965184.1
38,-123142628.1,0.669219015,-184009457.8
39,-123195553.3,0.669219015,-184088542.8
