Strategy,lifecycle_infrastructure cost,environmental_restoration cost,safety cost,economic_losses,aesthetic_benefit,total
S1,-4.29E+06,0,-332327.9982,-1.19E+09,0,-1.20E+09
S2,-6.85E+06,-314891.7243,-1756163.999,-1.19E+09,1020.823948,-1.20E+09
S3,-1.28E+07,-933516.8186,-4596163.999,-1.19E+09,2220.392903,-1.21E+09
S4,-7.75E+06,-314891.7243,-1756163.999,-8.68E+08,1020.823948,-8.77E+08
S5,-1.28E+07,-933516.8186,-4596163.999,-5.70E+08,2220.392903,-5.88E+08
S6,-1.46E+07,-629783.4486,-3180000,-8.67E+08,2041.647896,-8.85E+08
S7,-1.03E+07,-629783.4486,-3180000,-8.67E+08,2041.647896,-8.81E+08
S8,-1.46E+07,-629783.4486,-3180000,-8.67E+08,2041.647896,-8.85E+08
S9,-1.03E+07,-629783.4486,-3180000,-8.67E+08,2041.647896,-8.81E+08
S10,-3.83E+07,-1867033.637,-8860000,-5.68E+08,4440.785806,-6.17E+08
S11,-1.03E+07,-629783.4486,-3180000,-5.68E+08,4440.785806,-5.82E+08
S12,-3.83E+07,-1867033.637,-8860000,-5.68E+08,4440.785806,-6.17E+08
S13,-1.03E+07,-629783.4486,-3180000,-5.68E+08,4440.785806,-5.82E+08
