Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,economic_losses,net_benefit
S1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
S2,4.88E+06,3.15E+05,1.43E+06,6.63E+06,1.02E+03,0.00E+00,-6.62E+06
S3,1.27E+07,9.34E+05,4.27E+06,1.79E+07,2.22E+03,0.00E+00,-1.79E+07
S4,1.17E+07,3.15E+05,1.43E+06,1.34E+07,1.02E+03,-3.22E+08,3.09E+08
S5,1.27E+07,9.34E+05,4.27E+06,1.79E+07,2.22E+03,-6.20E+08,6.02E+08
S6,1.31E+07,6.30E+05,2.85E+06,1.66E+07,2.04E+03,-3.23E+08,3.06E+08
S7,1.66E+07,6.30E+05,2.85E+06,2.01E+07,2.04E+03,-3.23E+08,3.03E+08
S8,1.31E+07,6.30E+05,2.85E+06,1.66E+07,2.04E+03,-3.23E+08,3.06E+08
S9,1.66E+07,6.30E+05,2.85E+06,2.01E+07,2.04E+03,-3.23E+08,3.03E+08
S10,3.44E+07,1.87E+06,8.53E+06,4.48E+07,4.44E+03,-6.22E+08,5.77E+08
S11,4.26E+07,1.87E+06,8.53E+06,5.30E+07,4.44E+03,-6.22E+08,5.69E+08
S12,3.44E+07,1.87E+06,8.53E+06,4.48E+07,4.44E+03,-6.22E+08,5.77E+08
S13,4.26E+07,1.87E+06,8.53E+06,5.30E+07,4.44E+03,-6.22E+08,5.69E+08
