Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,12159990.61,565125.6812,777844.4333,13502960.72,254367.1932,1066029.022,-12182564.51
INA,29381721.38,1675351.517,2331154.078,33388226.98,718271.8723,2192225.067,-30477730.04
ICN,11870822.8,565125.6812,777844.4333,13213792.92,254367.1932,3374437.924,-9584987.799
IAN,29148671.69,1675351.517,2331154.078,33155177.28,718271.8723,6939330.219,-25497575.19
JCC,15302156.31,1130251.362,1555688.867,17988096.54,508734.3863,4440466.945,-13038895.21
ICC,24030813.41,1130251.362,1555688.867,26716753.64,508734.3863,4440466.945,-21767552.31
JAA,37826589.15,3350703.034,4662308.156,45839600.34,1436543.745,9131555.285,-35271501.31
IAA,58530393.07,3350703.034,4662308.156,66543404.26,1436543.745,9131555.285,-55975305.23
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2385365.407,0,3032634.655,5418000.062,0,0,-5418000.062
,14545356.01,565125.6812,3810479.088,18920960.78,254367.1932,1066029.022,-17600564.57
,31767086.79,1675351.517,5363788.733,38806227.04,718271.8723,2192225.067,-35895730.1
,14256188.21,565125.6812,3810479.088,18631792.98,254367.1932,3374437.924,-15002987.86
,31534037.09,1675351.517,5363788.733,38573177.34,718271.8723,6939330.219,-30915575.25
,17687521.72,1130251.362,4588323.522,23406096.6,508734.3863,4440466.945,-18456895.27
,26416178.82,1130251.362,4588323.522,32134753.7,508734.3863,4440466.945,-27185552.37
,40211954.55,3350703.034,7694942.811,51257600.4,1436543.745,9131555.285,-40689501.37
,60915758.48,3350703.034,7694942.811,71961404.32,1436543.745,9131555.285,-61393305.29
