year,underground_length
0,108.96998384534987
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.5562584295399728
13,0.0
14,0.7083272645855662
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.4331537276656433
21,0.0
22,0.41145738747270766
23,1.0514099376588992
24,2.6367608630504478
25,7.156000171124884
26,31.210460175673123
27,126.86148410344327
28,382.10978967812673
29,2677.7594082014994
30,21424.281794400285
31,42849.66662409228
32,214251.16250701048
33,1928265.7063288405
34,30852259.33281736
35,401079377.33349514
36,5615111287.591918
37,101072003185.46263
38,2223584070091.118
39,73378274313022.56
